subjectID	SMEDID	"Sub-lethal (SL) 
cell cluster"	NB subclass	queryID	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
dd_Smed_v6_924_0_1	SMED30000735	SL10	NA	SMED30000735|AsxlX1_comp78068_c0_seq2|AsxlX1	91.88	579	43	4	93	669	33	609	0	818
dd_Smed_v6_1440_0_1	SMED30004574	SL2	NA	SMED30004574|AsxlWT_comp49063_c0_seq1|AsxlWT	99.89	944	1	0	5	948	1	944	0	1698
dd_Smed_v6_2219_0_1	SMED30002513	SL5	NA	SMED30002513|Sxlembryo_comp98952_c0_seq2|Sxlembryo	99.72	1075	3	0	1063	2137	10	1084	0	1925
dd_Smed_v6_457_0_1	SMED30002547	SL5	NA	SMED30002547|AsxlWT_comp63503_c0_seq1|AsxlWT	100	610	0	0	1	610	5	614	0	1101
dd_Smed_v6_2037_0_1	SMED30004216	SL5	NA	SMED30004216|AsxlWT_comp19920_c0_seq1|AsxlWT	99.97	3292	1	0	1	3292	14	3305	0	5932
dd_Smed_v6_1960_0_1	SMED30000119	SL7	NA	SMED30000119|AsxlWT_comp57574_c0_seq1|AsxlWT	99.24	922	7	0	1	922	385	1306	0	1631
dd_Smed_v6_406_0_1	SMED30002198	SL7	NA	SMED30002198|OX_Smed_1.0.14866|Oxford	87.6	500	36	4	1	477	102	598	1.00E-179	628
dd_Smed_v6_247_0_1	SMED30002992	SL8	NA	SMED30002992|SxlWT_comp67234_c0_seq1|SxlWT	98.39	622	10	0	1	622	75	696	0	1077
dd_Smed_v6_1554_0_1	SMED30001720	SL9	NA	SMED30001720|AsxlWT_comp39768_c0_seq1|AsxlWT	99.88	846	1	0	1	846	32	877	0	1521
dd_Smed_v6_250_0_1	SMED30017430	SL9	NB10	SMED30017430|AsxlWT_comp42190_c0_seq3|AsxlWT	98.3	1764	27	1	594	2357	199	1959	0	3045
dd_Smed_v6_5361_0_1	SMED30012827	SL2	NB11	SMED30012827|AsxlWT_comp60945_c0_seq1|AsxlWT	99.67	3320	5	1	1	3314	113	3432	0	5939
dd_Smed_v6_6859_0_1	SMED30014194	SL2	NB11	SMED30014194|AsxlWT_comp57792_c0_seq1|AsxlWT	100	5017	0	0	1	5017	43	5059	0	9048
dd_Smed_v6_20_0_1	SMED30021545	SL4	NB12	SMED30021545|AsxlWT_comp41924_c0_seq1|AsxlWT	99.75	793	2	0	1	793	18	810	0	1422
dd_Smed_v6_11_0_1	SMED30005863	SL5	NB12	SMED30005863|AsxlX1_comp70002_c0_seq1|AsxlX1	93.9	770	3	1	1	770	33	758	0	1213
dd_Smed_v6_154_0_1	SMED30013396	SL5	NB12	SMED30013396|AsxlWT_comp51111_c0_seq1|AsxlWT	99.86	1413	2	0	1	1413	3	1415	0	2540
dd_Smed_v6_2075_0_1	SMED30027296	SL5	NB12	SMED30027296|AsxlWT_comp42508_c0_seq1|AsxlWT	64.54	1080	366	10	202	1273	176	1246	8.00E-48	192
dd_Smed_v6_2191_0_1	SMED30033646	SL2	NB2	SMED30033646|uniq_smed27168|033226_uniq	100	316	0	0	465	780	522	837	5.00E-162	571
dd_Smed_v6_375_0_1	SMED30015413	SL1	NB4	SMED30015413|AsxlWT_comp31544_c0_seq1|AsxlWT	98.17	2409	1	1	1	2366	5	2413	0	4181
dd_Smed_v6_445_0_1	SMED30009749	SL1	NB6	SMED30009749|AsxlWT_comp63411_c0_seq1|AsxlWT	99.72	1057	0	1	1	1057	171	1224	0	1891
dd_Smed_v6_2164_0_1	SMED30035336	SL2	NB8	SMED30035336|AsxlWT_comp60215_c1_seq1|AsxlWT	99.82	4995	8	1	1	4995	26	5019	0	8964
dd_Smed_v6_246_0_2	SMED30016078	SL6	NB8	SMED30016078|AsxlX1_comp81089_c0_seq1|AsxlX1	99.48	968	5	0	9	976	1347	2314	0	1723
dd_Smed_v6_702_0_1	SMED30006180	SL1	NA	SMED30006180|AsxlWT_comp56484_c0_seq1|AsxlWT	99.9	4077	4	0	1	4077	29	4105	0	7335
