Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_10078_0_1	2286	PLDB	2.00E-53	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens
dd_Smed_v6_10092_0_1	1759	PLDB	4.00E-68	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10564_0_1	1153	PLDB	8.00E-102	SIRT6 SIR2L6	sirtuin 6	Homo sapiens
dd_Smed_v6_1075_0_1	776	PLDB	7.00E-83	UBE2N HEL-S-71 UBC13 UbcH-ben UbcH13	ubiquitin-conjugating enzyme E2N	Homo sapiens
dd_Smed_v6_1095_0_1	1301	PLDB	3.00E-27	HMGB2 HMG2	high mobility group box 2	Homo sapiens
dd_Smed_v6_11322_0_1	1955	PLDB	2.00E-22	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_11434_0_1	2732	PLDB	0	MSH2 COCA1 FCC1 HNPCC HNPCC1 LCFS2	mutS homolog 2	Homo sapiens
dd_Smed_v6_11475_0_1	3984	PLDB	5.00E-179	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_11475_0_2	3931	PLDB	5.00E-149	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_12096_0_1	1162	PLDB	3.00E-33	DCLRE1C A-SCID DCLREC1C RS-SCID SCIDA SNM1C	DNA cross-link repair 1C	Homo sapiens
dd_Smed_v6_12261_0_1	3254	PLDB	1.00E-179	RTEL1 C20orf41 DKCA4 DKCB5 NHL RTEL	regulator of telomere elongation helicase 1	Homo sapiens
dd_Smed_v6_12390_0_1	307	PLDB	5.00E-28	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens
dd_Smed_v6_12551_0_1	4135	PLDB	4.00E-48	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens
dd_Smed_v6_12789_0_1	1570	PLDB	6.00E-39	CHEK1 CHK1	checkpoint kinase 1	Homo sapiens
dd_Smed_v6_12806_0_1	2574	PLDB	1.00E-51	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_10	1982	PLDB	4.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_11	1803	PLDB	2.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_12	1722	PLDB	2.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_13	1333	PLDB	4.00E-84	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_14	1252	PLDB	2.00E-90	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_15	1192	PLDB	4.00E-61	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_16	1111	PLDB	1.00E-66	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_17	963	PLDB	4.00E-70	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_18	882	PLDB	3.00E-76	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_2	2493	PLDB	1.00E-56	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_20	822	PLDB	3.00E-47	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_21	741	PLDB	5.00E-53	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_3	2433	PLDB	7.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_4	2352	PLDB	7.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_5	2204	PLDB	5.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_6	2173	PLDB	3.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_7	2123	PLDB	6.00E-43	MSH4	mutS homolog 4	Homo sapiens
