Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_100026_0_1	334	PLDB	1.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_100226_0_1	373	PLDB	3.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_1093_0_1	761	PLDB	4.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_13014_0_1	1150	PLDB	8.00E-19	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_13110_0_1	1862	PLDB	7.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_14397_0_1	229	PLDB	7.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_15532_0_1	2376	PLDB	0	RAD54L HR54 RAD54A hHR54 hRAD54	RAD54-like (S. cerevisiae)	Homo sapiens
dd_Smed_v6_15837_0_1	593	PLDB	2.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_1612_0_1	2888	PLDB	4.00E-36	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_17278_0_2	1788	PLDB	7.00E-21	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_18206_0_1	558	PLDB	8.00E-07	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_18576_0_1	642	PLDB	6.00E-12	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_19035_0_1	1951	PLDB	1.00E-63	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_19448_0_1	1170	PLDB	1.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_20619_0_1	736	PLDB	9.00E-10	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_21102_0_1	985	PLDB	3.00E-26	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_2126_0_1	1045	PLDB	7.00E-163	PSMD14 PAD1 POH1 RPN11	"proteasome 26S subunit, non-ATPase 14"	Homo sapiens
dd_Smed_v6_22052_0_1	1423	PLDB	1.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_22217_0_1	774	PLDB	1.00E-13	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_22298_0_1	727	PLDB	3.00E-15	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_2233_0_1	2408	PLDB	0	DDX1 DBP-RB UKVH5d	DEAD/H-box helicase 1	Homo sapiens
dd_Smed_v6_22383_0_1	643	PLDB	3.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_23527_0_1	2085	PLDB	4.00E-30	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_23788_0_1	311	PLDB	2.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_23909_0_1	603	PLDB	2.00E-30	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_24951_0_1	717	PLDB	3.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_25376_0_1	911	PLDB	2.00E-20	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_26296_0_1	542	PLDB	4.00E-15	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_26599_0_1	713	PLDB	2.00E-38	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_26619_0_1	409	PLDB	1.00E-19	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_2712_0_1	1950	PLDB	1.00E-30	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_27621_0_1	1005	PLDB	4.00E-07	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_27729_0_1	1126	PLDB	3.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_27795_0_1	709	PLDB	3.00E-11	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_28235_0_5	426	PLDB	1.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_28761_0_1	794	PLDB	1.00E-11	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_28795_0_1	1211	PLDB	1.00E-24	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_28855_0_1	788	PLDB	6.00E-10	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_30060_0_1	1103	PLDB	7.00E-16	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_32252_0_1	1106	PLDB	1.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_33679_0_1	782	PLDB	3.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_33852_0_1	941	PLDB	1.00E-15	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_34256_0_1	737	PLDB	2.00E-09	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_34949_0_1	651	PLDB	2.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_36419_0_1	1066	PLDB	8.00E-13	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_36720_0_1	956	PLDB	6.00E-42	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_39665_0_1	598	PLDB	1.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_39860_0_1	439	PLDB	3.00E-17	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_40484_0_1	1046	PLDB	2.00E-44	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_40715_0_1	1043	PLDB	2.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_44027_0_1	505	PLDB	8.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_44784_0_1	300	PLDB	5.00E-18	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_45377_0_1	375	PLDB	2.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_45415_0_1	472	PLDB	6.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_46088_0_2	426	PLDB	3.00E-22	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_46671_0_1	449	PLDB	3.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_46841_0_1	803	PLDB	3.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_47441_0_1	987	PLDB	1.00E-09	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_47836_0_1	618	PLDB	2.00E-16	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_49228_0_1	665	PLDB	2.00E-20	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_4961_0_1	1887	PLDB	3.00E-159	MRE11A ATLD HNGS1 MRE11 MRE11B	"MRE11 homolog A, double strand break repair nuclease"	Homo sapiens
dd_Smed_v6_52102_0_1	676	PLDB	3.00E-18	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_54493_0_1	371	PLDB	1.00E-19	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_57917_0_1	384	PLDB	4.00E-23	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_58591_0_1	246	PLDB	7.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_58593_0_1	519	PLDB	3.00E-16	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_59402_0_1	459	PLDB	6.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_60075_0_1	657	PLDB	8.00E-10	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_61010_0_1	328	PLDB	4.00E-12	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_61410_0_1	349	PLDB	1.00E-42	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_63856_0_1	322	PLDB	1.00E-09	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_6447_0_1	2874	PLDB	7.00E-124	MLH1 COCA2 FCC2 HNPCC HNPCC2 hMLH1	mutL homolog 1	Homo sapiens
dd_Smed_v6_64532_0_1	486	PLDB	3.00E-09	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_64895_0_1	328	PLDB	1.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_65364_0_1	297	PLDB	7.00E-07	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_65501_0_1	442	PLDB	4.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_66292_0_1	419	PLDB	8.00E-11	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_67185_0_2	240	PLDB	3.00E-09	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_67935_0_1	609	PLDB	7.00E-17	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_68573_0_1	324	PLDB	2.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_70404_0_1	536	PLDB	7.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_70533_0_1	362	PLDB	3.00E-16	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_70953_0_1	628	PLDB	2.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_7262_0_1	1025	PLDB	3.00E-44	XRCC6BP1 KUB3	XRCC6 binding protein 1	Homo sapiens
dd_Smed_v6_72930_0_1	641	PLDB	7.00E-34	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_7382_0_1	2183	PLDB	0	LIG1	"ligase I, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_74045_0_1	685	PLDB	4.00E-31	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_77043_0_1	467	PLDB	2.00E-05	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
