Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_10064_0_1	1840	PLDB	4.00E-65	GTF2H1 BTF2 P62 TFB1 TFIIH	general transcription factor IIH subunit 1	Homo sapiens
dd_Smed_v6_10078_0_1	2286	PLDB	2.00E-53	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10163_0_1	1688	PLDB	4.00E-37	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_101655_0_1	252	PLDB	4.00E-43	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_10301_0_1	598	PLDB	4.00E-18	INO80C C18orf37 IES6 hIes6	INO80 complex subunit C	Homo sapiens
dd_Smed_v6_10338_0_1	2920	PLDB	0	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_10725_0_1	1057	PLDB	6.00E-28	CCNH CAK CycH p34 p37	cyclin H	Homo sapiens
dd_Smed_v6_10816_0_1	1625	PLDB	1.00E-107	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens
dd_Smed_v6_11045_0_1	209	PLDB	3.00E-06	POLR2L RBP10 RPABC5 RPB10 RPB10beta RPB7.6 hRPB7.6	polymerase (RNA) II subunit L	Homo sapiens
dd_Smed_v6_11140_0_1	5626	PLDB	0	ASCC3 ASC1p200 HELIC1 RNAH	activating signal cointegrator 1 complex subunit 3	Homo sapiens
dd_Smed_v6_11145_0_1	2885	PLDB	4.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11265_0_1	1381	PLDB	3.00E-112	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_11322_0_1	1955	PLDB	2.00E-22	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_2	1944	PLDB	9.00E-28	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_3	1907	PLDB	5.00E-25	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_4	1896	PLDB	7.00E-31	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_1136_0_1	597	PLDB	5.00E-60	RBX1 BA554C12.1 RNF75 ROC1	ring-box 1	Homo sapiens
dd_Smed_v6_11417_0_1	1083	PLDB	4.00E-101	APEX1 APE APE1 APEN APEX APX HAP1 REF1	apurinic/apyrimidinic endodeoxyribonuclease 1	Homo sapiens
dd_Smed_v6_11434_0_1	2732	PLDB	0	MSH2 COCA1 FCC1 HNPCC HNPCC1 LCFS2	mutS homolog 2	Homo sapiens
dd_Smed_v6_11475_0_1	3984	PLDB	5.00E-179	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_11510_0_1	1623	PLDB	3.00E-63	GTF2H4 P52 TFB2 TFIIH	general transcription factor IIH subunit 4	Homo sapiens
dd_Smed_v6_11544_0_1	2746	PLDB	9.00E-61	MEN1 MEAI SCG2	menin 1	Homo sapiens
dd_Smed_v6_11546_0_1	2857	PLDB	2.00E-154	RFC1 A1 MHCBFB PO-GA RECC1 RFC RFC140	replication factor C subunit 1	Homo sapiens
dd_Smed_v6_11699_0_1	524	PLDB	6.00E-14	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_11718_0_1	3882	PLDB	5.00E-145	FANCM FAAP250 KIAA1596	Fanconi anemia complementation group M	Homo sapiens
dd_Smed_v6_11904_0_1	1777	PLDB	7.00E-57	UBC HMG20	ubiquitin C	Homo sapiens
dd_Smed_v6_11908_0_1	2688	PLDB	0	HSP90B1 ECGP GP96 GRP94 HEL-S-125m HEL35 TRA1	heat shock protein 90kDa beta family member 1	Homo sapiens
dd_Smed_v6_12021_0_1	477	PLDB	5.00E-08	GTF2H5 C6orf175 TFB5 TFIIH TGF2H5 TTD TTD-A TTDA bA120J8.2	"general transcription factor IIH, polypeptide 5"	Homo sapiens
dd_Smed_v6_12096_0_1	1162	PLDB	3.00E-33	DCLRE1C A-SCID DCLREC1C RS-SCID SCIDA SNM1C	DNA cross-link repair 1C	Homo sapiens
dd_Smed_v6_1211_0_1	1527	PLDB	3.00E-95	PNKP EIEE10 MCSZ PNK	polynucleotide kinase 3'-phosphatase	Homo sapiens
dd_Smed_v6_12249_0_1	1743	PLDB	5.00E-50	HINFP HiNF-P MIZF ZNF743	histone H4 transcription factor	Homo sapiens
