Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_100026_0_1	334	PLDB	1.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_100226_0_1	373	PLDB	3.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_10027_0_1	1334	PLDB	5.00E-138	KAT8 MOF MYST1 ZC2HC8 hMOF	lysine acetyltransferase 8	Homo sapiens
dd_Smed_v6_10037_0_1	1378	PLDB	2.00E-07	PAPD7 LAK-1 LAK1 POLK POLS TRF4 TRF4-1 TRF41 TUTASE5	PAP associated domain containing 7	Homo sapiens
dd_Smed_v6_10064_0_1	1840	PLDB	4.00E-65	GTF2H1 BTF2 P62 TFB1 TFIIH	general transcription factor IIH subunit 1	Homo sapiens
dd_Smed_v6_10078_0_1	2286	PLDB	2.00E-53	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens
dd_Smed_v6_10082_0_1	2522	PLDB	1.00E-32	NVL	nuclear VCP-like	Homo sapiens
dd_Smed_v6_10082_0_2	2180	PLDB	1.00E-32	NVL	nuclear VCP-like	Homo sapiens
dd_Smed_v6_10082_0_3	2138	PLDB	1.00E-32	NVL	nuclear VCP-like	Homo sapiens
dd_Smed_v6_10092_0_1	1759	PLDB	4.00E-68	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens
dd_Smed_v6_101106_0_1	259	PLDB	1.00E-26	PPP1CC PP-1G PP1C PPP1G	protein phosphatase 1 catalytic subunit gamma	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10159_0_1	1402	PLDB	9.00E-50	SMPD2 ISC1 NSMASE NSMASE1	sphingomyelin phosphodiesterase 2	Homo sapiens
dd_Smed_v6_10163_0_1	1688	PLDB	4.00E-37	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_101655_0_1	252	PLDB	4.00E-43	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_10188_0_1	353	PLDB	3.00E-19	THNSL2 SOFAT THS2 TSH2	threonine synthase like 2	Homo sapiens
dd_Smed_v6_102081_0_1	289	PLDB	4.00E-05	ARG1	arginase 1	Homo sapiens
dd_Smed_v6_102256_0_1	245	PLDB	9.00E-37	PPP1CB HEL-S-80p PP-1B PP1B PP1beta PPP1CD	protein phosphatase 1 catalytic subunit beta	Homo sapiens
dd_Smed_v6_10238_0_10	1300	PLDB	3.00E-68	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_12	1206	PLDB	1.00E-64	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_2	2118	PLDB	4.00E-107	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_3	2091	PLDB	2.00E-112	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_4	2068	PLDB	1.00E-102	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_5	1950	PLDB	1.00E-122	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_6	1927	PLDB	1.00E-97	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_7	1900	PLDB	6.00E-103	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_8	1877	PLDB	4.00E-93	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_9	1350	PLDB	3.00E-81	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_102403_0_1	311	PLDB	2.00E-45	DNAH5 CILD3 DNAHC5 HL1 KTGNR PCD	dynein axonemal heavy chain 5	Homo sapiens
dd_Smed_v6_10278_0_1	1268	PLDB	0	MAT1A MAT MATA1 SAMS SAMS1	methionine adenosyltransferase 1A	Homo sapiens
dd_Smed_v6_10301_0_1	598	PLDB	4.00E-18	INO80C C18orf37 IES6 hIes6	INO80 complex subunit C	Homo sapiens
dd_Smed_v6_10304_0_1	6566	PLDB	0	ABCA1 ABC-1 ABC1 CERP HDLDT1 TGD	ATP binding cassette subfamily A member 1	Homo sapiens
dd_Smed_v6_103063_0_1	290	PLDB	2.00E-35	DNAH5 CILD3 DNAHC5 HL1 KTGNR PCD	dynein axonemal heavy chain 5	Homo sapiens
dd_Smed_v6_1031_0_1	2413	PLDB	0	DPP3 DPPIII	dipeptidyl peptidase 3	Homo sapiens
dd_Smed_v6_103336_0_1	267	PLDB	2.00E-52	PPP3CC CALNA3 CNA3 PP2Bgamma	protein phosphatase 3 catalytic subunit gamma	Homo sapiens
dd_Smed_v6_10338_0_1	2920	PLDB	0	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_10357_0_1	1819	PLDB	6.00E-74	GLCE HSEPI	glucuronic acid epimerase	Homo sapiens
dd_Smed_v6_1035_1_1	5651	PLDB	7.00E-46	CBL C-CBL CBL2 FRA11B NSLL RNF55	Cbl proto-oncogene	Homo sapiens
dd_Smed_v6_10364_0_1	900	PLDB	4.00E-72	DHRS11 ARPG836 SDR24C1	dehydrogenase/reductase (SDR family) member 11	Homo sapiens
dd_Smed_v6_1036_0_1	856	PLDB	3.00E-44	UBE2V1 CIR1 CROC-1 CROC1 UBE2V UEV-1 UEV1 UEV1A	ubiquitin conjugating enzyme E2 V1	Homo sapiens
dd_Smed_v6_10378_0_1	2392	PLDB	8.00E-126	DDX31 PPP1R25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	Homo sapiens
dd_Smed_v6_10394_0_1	1942	PLDB	1.00E-33	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_10434_0_1	2685	PLDB	0	DHX16 DBP2 DDX16 PRO2014 PRP8 PRPF2 Prp2	DEAH-box helicase 16	Homo sapiens
dd_Smed_v6_10459_1_1	3873	PLDB	0	CHD1	chromodomain helicase DNA binding protein 1	Homo sapiens
dd_Smed_v6_10498_0_1	2774	PLDB	8.00E-100	GPHN GEPH GPH GPHRYN HKPX1 MOCODC	gephyrin	Homo sapiens
dd_Smed_v6_10513_0_1	962	PLDB	5.00E-31	ECE2	endothelin converting enzyme 2	Homo sapiens
dd_Smed_v6_10515_0_1	2277	PLDB	0	PRKG1 1 AAT8 PKG PRKG1B PRKGR1B cGK cGK 1 cGK1 cGKI cGKI-BETA cGKI-alpha	"protein kinase, cGMP-dependent, type I"	Homo sapiens
dd_Smed_v6_10564_0_1	1153	PLDB	8.00E-102	SIRT6 SIR2L6	sirtuin 6	Homo sapiens
dd_Smed_v6_10576_0_1	1847	PLDB	0	PKM CTHBP HEL-S-30 OIP3 PK3 PKM2 TCB THBP1	"pyruvate kinase, muscle"	Homo sapiens
dd_Smed_v6_10581_0_1	1218	PLDB	5.00E-29	NTAN1 PNAA PNAD	N-terminal asparagine amidase	Homo sapiens
dd_Smed_v6_1060_0_1	2412	PLDB	0	ALDH18A1 ARCL3A GSAS P5CS PYCS	"aldehyde dehydrogenase 18 family, member A1"	Homo sapiens
dd_Smed_v6_10612_0_1	1283	PLDB	5.00E-63	MCAT FASN2C MCT MT NET62 fabD	malonyl-CoA-acyl carrier protein transacylase	Homo sapiens
dd_Smed_v6_10624_0_1	4838	PLDB	5.00E-69	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_1062_0_1	2873	PLDB	0	GAA LYAG	"glucosidase alpha, acid"	Homo sapiens
dd_Smed_v6_10675_0_1	1461	PLDB	6.00E-118	SCLY SCL hSCL	selenocysteine lyase	Homo sapiens
dd_Smed_v6_1069_0_1	1763	PLDB	6.00E-146	DLAT DLTA PDC-E2 PDCE2	dihydrolipoamide S-acetyltransferase	Homo sapiens
dd_Smed_v6_10708_0_1	1537	PLDB	4.00E-24	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10708_0_2	1292	PLDB	1.00E-24	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10711_0_1	848	PLDB	8.00E-10	SENP8 DEN1 NEDP1 PRSC2	"SUMO/sentrin peptidase family member, NEDD8 specific"	Homo sapiens
dd_Smed_v6_10725_0_1	1057	PLDB	6.00E-28	CCNH CAK CycH p34 p37	cyclin H	Homo sapiens
dd_Smed_v6_10737_0_1	3900	PLDB	2.00E-113	ATP10B ATPVB	"ATPase, class V, type 10B"	Homo sapiens
dd_Smed_v6_10744_0_1	1430	PLDB	2.00E-86	PM20D2 ACY1L2 bA63L7.3	peptidase M20 domain containing 2	Homo sapiens
dd_Smed_v6_1075_0_1	776	PLDB	7.00E-83	UBE2N HEL-S-71 UBC13 UbcH-ben UbcH13	ubiquitin-conjugating enzyme E2N	Homo sapiens
dd_Smed_v6_10816_0_1	1625	PLDB	1.00E-107	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens
dd_Smed_v6_10846_0_1	7572	PLDB	0	DNAH3 DLP3 DNAHC3B HEL-36 Hsadhc3	"dynein, axonemal, heavy chain 3"	Homo sapiens
dd_Smed_v6_10849_0_1	1694	PLDB	0	UGDH GDH UDP-GlcDH UDPGDH UGD	UDP-glucose 6-dehydrogenase	Homo sapiens
dd_Smed_v6_10883_0_1	1775	PLDB	5.00E-34	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10921_0_1	1888	PLDB	4.00E-37	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_1093_0_1	761	PLDB	4.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_1095_0_1	1301	PLDB	3.00E-27	HMGB2 HMG2	high mobility group box 2	Homo sapiens
dd_Smed_v6_10969_0_1	12190	PLDB	0	DNAH6 DNHL1 Dnahc6 HL-2 HL2	dynein axonemal heavy chain 6	Homo sapiens
dd_Smed_v6_10969_0_2	12103	PLDB	0	DNAH14 C1orf67 Dnahc14 HL-18 HL18	"dynein, axonemal, heavy chain 14"	Homo sapiens
dd_Smed_v6_11013_0_1	1214	PLDB	7.00E-61	HLCS HCS	holocarboxylase synthetase	Homo sapiens
dd_Smed_v6_11045_0_1	209	PLDB	3.00E-06	POLR2L RBP10 RPABC5 RPB10 RPB10beta RPB7.6 hRPB7.6	polymerase (RNA) II subunit L	Homo sapiens
dd_Smed_v6_11107_0_1	1853	PLDB	2.00E-18	ACAD9 NPD002	acyl-CoA dehydrogenase family member 9	Homo sapiens
dd_Smed_v6_11130_0_1	2574	PLDB	3.00E-26	PHF12 PF1	PHD finger protein 12	Homo sapiens
dd_Smed_v6_11140_0_1	5626	PLDB	0	ASCC3 ASC1p200 HELIC1 RNAH	activating signal cointegrator 1 complex subunit 3	Homo sapiens
dd_Smed_v6_11145_0_1	2885	PLDB	4.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11172_0_1	874	PLDB	1.00E-96	GCH1 DYT14 DYT5 DYT5a GCH GTP-CH-1 GTPCH1 HPABH4B	GTP cyclohydrolase 1	Homo sapiens
dd_Smed_v6_11184_0_1	4701	PLDB	0	PNPLA7 C9orf111 NTE-R1 NTEL1	patatin like phospholipase domain containing 7	Homo sapiens
dd_Smed_v6_11193_0_1	1497	PLDB	2.00E-17	CASP6 MCH2	"caspase 6, apoptosis-related cysteine peptidase"	Homo sapiens
dd_Smed_v6_11193_0_2	1298	PLDB	6.00E-08	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_1123_0_1	1694	PLDB	3.00E-134	DPP7 DPP2 DPPII QPP	dipeptidyl peptidase 7	Homo sapiens
dd_Smed_v6_11265_0_1	1381	PLDB	3.00E-112	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
