Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10113_0_1	1793	PLDB	8.00E-137	NP_060566.2	NLE1 Nle	notchless homolog 1	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	NP_003059.1	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10716_0_1	3063	PLDB	3.00E-54	NP_060087.3	NOTCH1 TAN1 hN1	notch 1	Homo sapiens
dd_Smed_v6_1136_0_1	597	PLDB	5.00E-60	NP_055063.1	RBX1 BA554C12.1 RNF75 ROC1	ring-box 1	Homo sapiens
dd_Smed_v6_11372_0_1	1818	PLDB	8.00E-154	NP_001275504.1	EYA1 BOP BOR BOS1 OFC1	EYA transcriptional coactivator and phosphatase 1	Homo sapiens
dd_Smed_v6_11699_0_1	524	PLDB	6.00E-14	XP_005260108.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_11876_0_1	5112	PLDB	0	NP_000205.1	JAG1 AGS AHD AWS CD339 HJ1 JAGL1	jagged 1	Homo sapiens
dd_Smed_v6_11895_0_1	1907	PLDB	2.00E-08	NP_001164160.1	MIB2 ZZANK1 ZZZ5	mindbomb E3 ubiquitin protein ligase 2	Homo sapiens
dd_Smed_v6_11904_0_1	1777	PLDB	7.00E-57	NP_066289.3	UBC HMG20	ubiquitin C	Homo sapiens
dd_Smed_v6_1194_0_1	2727	PLDB	4.00E-102	XP_005270633.1	AGO3 EIF2C3	"argonaute 3, RISC catalytic component"	Homo sapiens
dd_Smed_v6_1203_0_1	2222	PLDB	2.00E-85	NP_110416.1	HM13 H13 IMP1 IMPAS IMPAS-1 MSTP086 PSENL3 PSL3 SPP SPPL1 dJ324O17.1	histocompatibility (minor) 13	Homo sapiens
dd_Smed_v6_12274_0_1	1131	PLDB	4.00E-38	XP_005265585.1	KAT2B CAF P P/CAF PCAF	K(lysine) acetyltransferase 2B	Homo sapiens
dd_Smed_v6_12371_0_1	1358	PLDB	0	NP_003874.2	HDAC3 HD3 RPD3 RPD3-2	histone deacetylase 3	Homo sapiens
dd_Smed_v6_1317_0_1	2179	PLDB	5.00E-68	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_13215_0_1	1708	PLDB	7.00E-38	NP_003097.1	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_1337_0_1	793	PLDB	7.00E-82	NP_733779.1	SKP1 EMC19 OCP-II OCP2 SKP1A TCEB1L p19A	S-phase kinase-associated protein 1	Homo sapiens
dd_Smed_v6_13823_0_1	3508	PLDB	6.00E-82	NP_005609.3	DLL1 DELTA1 DL1 Delta	delta like canonical Notch ligand 1	Homo sapiens
dd_Smed_v6_14708_0_1	1007	PLDB	1.00E-57	NP_064541.1	C1GALT1 C1GALT T-synthase	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	Homo sapiens
dd_Smed_v6_14708_0_2	735	PLDB	2.00E-43	NP_064541.1	C1GALT1 C1GALT T-synthase	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	Homo sapiens
dd_Smed_v6_16296_0_1	2855	PLDB	9.00E-145	XP_005255182.1	CREBBP CBP KAT3A RSTS	CREB binding protein	Homo sapiens
dd_Smed_v6_1685_0_1	2109	PLDB	3.00E-28	NP_056146.1	NCSTN ATAG1874	nicastrin	Homo sapiens
dd_Smed_v6_1704_0_1	3684	PLDB	3.00E-74	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
