Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_1000_0_1	1387	PLDB	9.00E-176	NP_001886.1	CSNK2A1 CK2A1 CKII CSNK2A3	casein kinase 2 alpha 1	Homo sapiens
dd_Smed_v6_10014_0_1	679	PLDB	5.00E-104	XP_006713618.1	TNIK	TRAF2 and NCK interacting kinase	Homo sapiens
dd_Smed_v6_10045_0_1	1917	PLDB	0	NP_003574.1	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_100524_0_1	252	PLDB	6.00E-37	NP_000030.1	APOA1	apolipoprotein A-I	Homo sapiens
dd_Smed_v6_10055_0_1	1118	PLDB	2.00E-102	NP_003574.1	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10070_0_1	2531	PLDB	3.00E-84	XP_005268459.1	ARHGAP26 GRAF GRAF1 OPHN1L OPHN1L1	Rho GTPase activating protein 26	Homo sapiens
dd_Smed_v6_10072_0_1	2316	PLDB	3.00E-48	NP_001252523.1	PLEKHG5 CMTRIC DSMA4 GEF720 Syx Tech	pleckstrin homology and RhoGEF domain containing G5	Homo sapiens
dd_Smed_v6_10083_0_1	884	PLDB	1.00E-23	NP_001734.1	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_10084_0_1	523	PLDB	1.00E-49	NP_003737.1	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	NP_009057.1	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens
dd_Smed_v6_101106_0_1	259	PLDB	1.00E-26	NP_002701.1	PPP1CC PP-1G PP1C PPP1G	protein phosphatase 1 catalytic subunit gamma	Homo sapiens
dd_Smed_v6_10110_0_1	3407	PLDB	4.00E-52	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10110_0_2	2344	PLDB	2.00E-72	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10110_0_3	1239	PLDB	1.00E-44	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10112_0_1	6052	PLDB	2.00E-68	NP_002326.2	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	LDL receptor related protein 5	Homo sapiens
dd_Smed_v6_10113_0_1	1793	PLDB	8.00E-137	NP_060566.2	NLE1 Nle	notchless homolog 1	Homo sapiens
dd_Smed_v6_10115_0_1	4543	PLDB	2.00E-38	XP_006713531.1	TNK2 ACK ACK-1 ACK1 p21cdc42Hs	"tyrosine kinase, non-receptor, 2"	Homo sapiens
dd_Smed_v6_10116_0_1	3582	PLDB	4.00E-62	NP_277052.1	SHANK3 DEL22q13.3 PROSAP2 PSAP2 SCZD15 SPANK-2	SH3 and multiple ankyrin repeat domains 3	Homo sapiens
dd_Smed_v6_10123_0_1	1460	PLDB	2.00E-18	NP_689416.1	IPMK	inositol polyphosphate multikinase	Homo sapiens
