Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10083_0_1	884	PLDB	1.00E-23	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_1009_1_1	1216	PLDB	5.00E-42	SLC8B1 NCKX6 NCLX SLC24A6	solute carrier family 8 member B1	Homo sapiens
dd_Smed_v6_10112_0_1	6052	PLDB	2.00E-68	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	LDL receptor related protein 5	Homo sapiens
dd_Smed_v6_10112_0_2	2892	PLDB	5.00E-23	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	low density lipoprotein receptor-related protein 5	Homo sapiens
dd_Smed_v6_10129_0_1	1277	PLDB	9.00E-137	NME7 MN23H7 NDK 7 NDK7 nm23-H7	NME/NM23 family member 7	Homo sapiens
dd_Smed_v6_10174_0_1	535	PLDB	2.00E-51	ACTN2 CMD1AA	"actinin, alpha 2"	Homo sapiens
dd_Smed_v6_101932_0_1	462	PLDB	1.00E-10	AVPR1A AVPR V1a AVPR1 V1aR	arginine vasopressin receptor 1A	Homo sapiens
dd_Smed_v6_1020_0_1	1786	PLDB	8.00E-123	PHKG1 PHKG	phosphorylase kinase catalytic subunit gamma 1	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10239_0_1	630	PLDB	2.00E-32	CALML3 CLP	calmodulin like 3	Homo sapiens
dd_Smed_v6_10241_0_1	785	PLDB	1.00E-23	CIB2 DFNB48 KIP2 USH1J	calcium and integrin binding family member 2	Homo sapiens
dd_Smed_v6_10246_0_1	1840	PLDB	1.00E-15	RAB11FIP4 RAB11-FIP4	RAB11 family interacting protein 4	Homo sapiens
dd_Smed_v6_10277_0_1	1653	PLDB	2.00E-104	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_10277_0_2	1620	PLDB	8.00E-105	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_10325_0_1	1534	PLDB	1.00E-43	GALR2 GAL2-R GALNR2 GALR-2	galanin receptor 2	Homo sapiens
dd_Smed_v6_1035_1_1	5651	PLDB	7.00E-46	CBL C-CBL CBL2 FRA11B NSLL RNF55	Cbl proto-oncogene	Homo sapiens
dd_Smed_v6_1035_1_2	5606	PLDB	4.00E-50	CBLB Cbl-b RNF56	"Cbl proto-oncogene B, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_10409_0_1	3494	PLDB	1.00E-23	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10409_0_2	2837	PLDB	1.00E-26	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10409_0_3	2668	PLDB	2.00E-23	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10409_0_4	2656	PLDB	2.00E-23	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10409_0_5	2011	PLDB	9.00E-27	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10409_0_6	1999	PLDB	8.00E-27	CACNA2D3 HSA272268	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Homo sapiens
dd_Smed_v6_10424_0_1	1744	PLDB	5.00E-28	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_10444_0_1	2884	PLDB	4.00E-167	CEP120 CCDC100	centrosomal protein 120kDa	Homo sapiens
dd_Smed_v6_10454_0_1	2772	PLDB	2.00E-36	MGEA5 MEA5 NCOAT OGA	meningioma expressed antigen 5 (hyaluronidase)	Homo sapiens
dd_Smed_v6_10467_0_1	3538	PLDB	6.00E-53	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_10481_0_1	1405	PLDB	5.00E-160	GNB5 GB5	G protein subunit beta 5	Homo sapiens
dd_Smed_v6_10485_0_1	3045	PLDB	1.00E-12	TRPM2 EREG1 KNP3 LTRPC2 NUDT9H NUDT9L1 TRPC7	"transient receptor potential cation channel, subfamily M, member 2"	Homo sapiens
dd_Smed_v6_10495_0_1	3628	PLDB	5.00E-63	PCDH9	protocadherin 9	Homo sapiens
dd_Smed_v6_10495_0_2	3617	PLDB	5.00E-63	PCDH9	protocadherin 9	Homo sapiens
dd_Smed_v6_10515_0_1	2277	PLDB	0	PRKG1 1 AAT8 PKG PRKG1B PRKGR1B cGK cGK 1 cGK1 cGKI cGKI-BETA cGKI-alpha	"protein kinase, cGMP-dependent, type I"	Homo sapiens
dd_Smed_v6_10578_0_1	629	PLDB	5.00E-17	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
