transcript_id	transcript_length	transcript_source	evalue	score_type	symbol	blast_description	blast_symbol	target_species
dd_Smed_v6_1000_0_1	1387	PLDB	9.00E-176	e-value	NP_001886.1	casein kinase 2 alpha 1	CSNK2A1 CK2A1 CKII CSNK2A3	Homo sapiens
dd_Smed_v6_10021_0_1	748	PLDB	1.00E-14	e-value	NP_653183.2	testis expressed 261	TEX261 TEG-261	Homo sapiens
dd_Smed_v6_100246_0_1	279	PLDB	2.00E-05	e-value	XP_005268382.1	PCI domain containing 2	PCID2 F10	Homo sapiens
dd_Smed_v6_10039_0_1	1058	PLDB	4.00E-38	e-value	NP_660303.1	odd-skipped related transciption factor 1	OSR1 ODD	Homo sapiens
dd_Smed_v6_10045_0_1	1917	PLDB	0	e-value	NP_003574.1	dual specificity tyrosine phosphorylation regulated kinase 2	DYRK2	Homo sapiens
dd_Smed_v6_10055_0_1	1118	PLDB	2.00E-102	e-value	NP_003574.1	dual specificity tyrosine phosphorylation regulated kinase 2	DYRK2	Homo sapiens
dd_Smed_v6_10072_0_1	2316	PLDB	3.00E-48	e-value	NP_001252523.1	pleckstrin homology and RhoGEF domain containing G5	PLEKHG5 CMTRIC DSMA4 GEF720 Syx Tech	Homo sapiens
dd_Smed_v6_10079_0_1	1269	PLDB	6.00E-94	e-value	NP_115633.3	zinc finger MYND-type containing 12	ZMYND12	Homo sapiens
dd_Smed_v6_10084_0_1	523	PLDB	1.00E-49	e-value	NP_003737.1	dynein light chain LC8-type 1	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	e-value	NP_009057.1	valosin containing protein	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	Homo sapiens
dd_Smed_v6_10136_0_1	2002	PLDB	1.00E-53	e-value	NP_001155000.1	leucine-rich repeats and death domain containing 1	LRRD1	Homo sapiens
dd_Smed_v6_10159_0_1	1402	PLDB	9.00E-50	e-value	NP_003071.2	sphingomyelin phosphodiesterase 2	SMPD2 ISC1 NSMASE NSMASE1	Homo sapiens
dd_Smed_v6_10164_0_1	1537	PLDB	9.00E-53	e-value	NP_004751.2	serine/threonine kinase 17a	STK17A DRAK1	Homo sapiens
dd_Smed_v6_10174_0_1	535	PLDB	2.00E-51	e-value	NP_001265272.1	"actinin, alpha 2"	ACTN2 CMD1AA	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	e-value	NP_003059.1	snail family transcriptional repressor 2	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	Homo sapiens
