Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_1000_0_1	1387	PLDB	9.00E-176	CSNK2A1 CK2A1 CKII CSNK2A3	casein kinase 2 alpha 1	Homo sapiens
dd_Smed_v6_10007_0_1	2124	PLDB	3.00E-29	LMX1A LMX1 LMX1.1	"LIM homeobox transcription factor 1, alpha"	Homo sapiens
dd_Smed_v6_10014_0_1	679	PLDB	5.00E-104	TNIK	TRAF2 and NCK interacting kinase	Homo sapiens
dd_Smed_v6_100524_0_1	252	PLDB	6.00E-37	APOA1	apolipoprotein A-I	Homo sapiens
dd_Smed_v6_10070_0_1	2531	PLDB	3.00E-84	ARHGAP26 GRAF GRAF1 OPHN1L OPHN1L1	Rho GTPase activating protein 26	Homo sapiens
dd_Smed_v6_10072_0_1	2316	PLDB	3.00E-48	PLEKHG5 CMTRIC DSMA4 GEF720 Syx Tech	pleckstrin homology and RhoGEF domain containing G5	Homo sapiens
dd_Smed_v6_10075_0_1	3368	PLDB	1.00E-34	KAL1 ADMLX HH1 HHA KAL KALIG-1 KMS WFDC19	Kallmann syndrome 1 sequence	Homo sapiens
dd_Smed_v6_10083_0_1	884	PLDB	1.00E-23	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_101106_0_1	259	PLDB	1.00E-26	PPP1CC PP-1G PP1C PPP1G	protein phosphatase 1 catalytic subunit gamma	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10152_0_1	2441	PLDB	8.00E-40	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10219_0_1	974	PLDB	2.00E-69	PAX5 ALL3 BSAP	paired box 5	Homo sapiens
dd_Smed_v6_102256_0_1	245	PLDB	9.00E-37	PPP1CB HEL-S-80p PP-1B PP1B PP1beta PPP1CD	protein phosphatase 1 catalytic subunit beta	Homo sapiens
dd_Smed_v6_10239_0_1	630	PLDB	2.00E-32	CALML3 CLP	calmodulin like 3	Homo sapiens
dd_Smed_v6_10248_0_1	3156	PLDB	4.00E-12	LMNA CDCD1 CDDC CMD1A CMT2B1 EMD2 FPL FPLD FPLD2 HGPS IDC LDP1 LFP LGMD1B LMN1 LMNC LMNL1 PRO1	lamin A/C	Homo sapiens
