Transcript > Id	transcript	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_13215_0_1	SOX-2	1708	PLDB	7.00E-38	SOX2 ANOP3 MCOPS3 dd_Smed_v6_13215_0_1	SRY-box 2 dd_Smed_v6_13215_0_1	Homo sapiens
dd_Smed_v6_25321_0_1	SOX-2	836	PLDB	9.00E-28	SOX2 ANOP3 MCOPS3 dd_Smed_v6_25321_0_1	SRY-box 2 dd_Smed_v6_25321_0_1	Homo sapiens
dd_Smed_v6_36521_0_1	SOX-2	1010	PLDB	5.00E-45	SOX21 SOX25	SRY (sex determining region Y)-box 21	Homo sapiens
dd_Smed_v6_8104_0_1	SOX-2	2757	PLDB	2.00E-35	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_33456_0_1	nkx2.2	911	PLDB	1.00E-23	NKX2-2 NKX2.2 NKX2B	NK2 homeobox 2	Homo sapiens
dd_Smed_v6_1694_0_1	hnf4	2661	PLDB	5.00E-108	HNF4G NR2A2 NR2A3	hepatocyte nuclear factor 4 gamma	Homo sapiens
dd_Smed_v6_10047_0_1	fgfr1	725	PLDB	6.00E-27	FOPNL C16orf63 FOR20 PHSECRG2	FGFR1OP N-terminal like	Homo sapiens
dd_Smed_v6_11285_0_1	fgfr1	2516	PLDB	2.00E-12	FGFRL1 FGFR5 FHFR dd_Smed_v6_11285_0_1	fibroblast growth factor receptor-like 1 dd_Smed_v6_11285_0_1	Homo sapiens
dd_Smed_v6_12674_0_1	fgfr1	2309	PLDB	3.00E-19	FGFRL1 FGFR5 FHFR dd_Smed_v6_12674_0_1	fibroblast growth factor receptor-like 1 dd_Smed_v6_12674_0_1	Homo sapiens
dd_Smed_v6_12674_0_2	fgfr1	2190	PLDB	3.00E-19	FGFRL1 FGFR5 FHFR dd_Smed_v6_12674_0_2	fibroblast growth factor receptor-like 1 dd_Smed_v6_12674_0_2	Homo sapiens
dd_Smed_v6_12674_0_3	fgfr1	2143	PLDB	2.00E-19	FGFRL1 FGFR5 FHFR dd_Smed_v6_12674_0_3	fibroblast growth factor receptor-like 1 dd_Smed_v6_12674_0_3	Homo sapiens
dd_Smed_v6_14267_0_1	fgfr1	1907	PLDB	6.00E-48	FGFR1 BFGFR CD331 CEK FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1 dd_Smed_v6_14267_0_1	fibroblast growth factor receptor 1 dd_Smed_v6_14267_0_1	Homo sapiens
dd_Smed_v6_3831_0_1	fgfr1	1961	PLDB	3.00E-19	FGFR1OP2 HSPC123-like WIT3.0 dd_Smed_v6_3831_0_1	FGFR1 oncogene partner 2 dd_Smed_v6_3831_0_1	Homo sapiens
dd_Smed_v6_3831_0_2	fgfr1	1915	PLDB	3.00E-19	FGFR1OP2 HSPC123-like WIT3.0 dd_Smed_v6_3831_0_2	FGFR1 oncogene partner 2 dd_Smed_v6_3831_0_2	Homo sapiens
dd_Smed_v6_4403_0_1	fgfr1	1028	PLDB	4.00E-14	FGFR1OP2 HSPC123-like WIT3.0	FGFR1 oncogene partner 2	Homo sapiens
dd_Smed_v6_5371_0_1	fgfr1	1058	PLDB	3.00E-10	FGFR1OP FOP dd_Smed_v6_5371_0_1	FGFR1 oncogene partner dd_Smed_v6_5371_0_1	Homo sapiens
dd_Smed_v6_5371_0_2	fgfr1	995	PLDB	3.00E-10	FGFR1OP FOP	FGFR1 oncogene partner	Homo sapiens
dd_Smed_v6_6020_0_1	fgfr1	2286	PLDB	7.00E-51	Fgfr1 AW208770 Eask FLG Fgfr-1 Flt-2 Hspy MFR bFGF-R-1 c-fgr	fibroblast growth factor receptor 1 dd_Smed_v6_6020_0_1	Mus musculus
dd_Smed_v6_7897_0_1	fgfr1	2760	PLDB	2.00E-53	FGFR1 BFGFR CD331 CEK FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1 dd_Smed_v6_7897_0_1	fibroblast growth factor receptor 1 dd_Smed_v6_7897_0_1	Homo sapiens
dd_Smed_v6_7897_0_2	fgfr1	2707	PLDB	1.00E-53	FGFR1 BFGFR CD331 CEK FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1 dd_Smed_v6_7897_0_2	fibroblast growth factor receptor 1 dd_Smed_v6_7897_0_2	Homo sapiens
dd_Smed_v6_7897_0_3	fgfr1	2370	PLDB	8.00E-54	FGFR1 BFGFR CD331 CEK FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1	fibroblast growth factor receptor 1	Homo sapiens
dd_Smed_v6_8310_0_1	fgfr1	1863	PLDB	3.00E-05	FGFRL1 FGFR5 FHFR	fibroblast growth factor receptor-like 1	Homo sapiens
dd_Smed_v6_9985_0_1	fgfr1	693	PLDB	2.00E-06	fgfr1a cb231 fgfr1 sb:cb231	fibroblast growth factor receptor 1a	Danio rerio
dd_Smed_v6_14629_0_1	egr1	1983	PLDB	4.00E-06	egr1-b EGR-1-B Xegr-1 at225 egr egr-1 g0s30 krox-24 ngfi-a tis8 zif-268 znf225	early growth response 1 dd_Smed_v6_14629_0_1	Xenopus laevis
dd_Smed_v6_7091_0_1	egr1	1591	PLDB	6.00E-32	EGR1 AT225 G0S30 KROX-24 NGFI-A TIS8 ZIF-268 ZNF225	early growth response 1 dd_Smed_v6_7091_0_1	Homo sapiens
dd_Smed_v6_9273_0_1	egr1	1670	PLDB	1.00E-28	Egr1 A530045N19Rik ETR103 Egr-1 Krox-1 Krox-24 Krox24 NGF1-A NGFI-A NGFIA TIS8 Zenk Zfp-6 Zif268 egr	early growth response 1	Mus musculus
dd_Smed_v6_1194_0_1	piwi	2727	PLDB	4.00E-102	AGO3 EIF2C3	"argonaute 3, RISC catalytic component"	Homo sapiens
dd_Smed_v6_1194_0_2	piwi	1670	PLDB	3.00E-59	HNRNPA2B1 HNRNPA2 HNRNPB1 HNRPA2 HNRPA2B1 HNRPB1 IBMPFD2 RNPA2 SNRPB1 dd_Smed_v6_1194_0_2	heterogeneous nuclear ribonucleoprotein A2/B1 dd_Smed_v6_1194_0_2	Homo sapiens
dd_Smed_v6_1194_0_3	piwi	1624	PLDB	2.00E-59	HNRNPA2B1 HNRNPA2 HNRNPB1 HNRPA2 HNRPA2B1 HNRPB1 IBMPFD2 RNPA2 SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	Homo sapiens
dd_Smed_v6_1258_0_1	piwi	3129	PLDB	0	PIWIL1 CT80.1 HIWI MIWI PIWI dd_Smed_v6_1258_0_1	piwi like RNA-mediated gene silencing 1 dd_Smed_v6_1258_0_1	Homo sapiens
