v6 Contig 100% match	pathway	Name	Transcript
dd_Smed_v6_6053_0_1	mex3b 	mex3b	
dd_Smed_v6_68_0_1	mex3b 	SmedASXL_009682	SmedASXL_009682
dd_Smed_v6_554_0_1	mex3b 	SmedASXL_059179	SmedASXL_059179
dd_Smed_v6_4103_0_1	mex3b 	SmedASXL_049264	SmedASXL_049264
dd_Smed_v6_6028_0_1	mex3b 	SmedASXL_000915	SmedASXL_000915
dd_Smed_v6_767_0_1	mex3b 	SmedASXL_002991	SmedASXL_002991
dd_Smed_v6_14646_0_1	mex3b 	MOCS3-1	SmedASXL_009322
dd_Smed_v6_1128_0_1	mex3b 	SmedASXL_004080	SmedASXL_004080
dd_Smed_v6_647_0_1	mex3b 	SmedASXL_051900	SmedASXL_051900
dd_Smed_v6_460_0_1	mex3b 	SmedASXL_034206	SmedASXL_034206
dd_Smed_v6_715_0_1	mex3b 	SmedASXL_002794	SmedASXL_002794
dd_Smed_v6_2664_0_1	mex3b 	SmedASXL_079556	SmedASXL_079556
dd_Smed_v6_4916_0_1	mex3b 	DCOR-2	SmedASXL_013928
dd_Smed_v6_617_0_1	mex3b 	SmedASXL_071929	SmedASXL_071929
dd_Smed_v6_8042_0_1	mex3b 	SmedASXL_005369	SmedASXL_005369
dd_Smed_v6_2969_0_1	mex3b 	PLA2G5	SmedASXL_002002
dd_Smed_v6_12547_0_1	mex3b 	SLC22A7-1	SmedASXL_016218
dd_Smed_v6_5477_0_1	mex3b 	CG5783-1	SmedASXL_005473
dd_Smed_v6_9640_0_1	mex3b 	SmedASXL_004777	SmedASXL_004777
dd_Smed_v6_1413_0_1	mex3b 	SmedASXL_004691	SmedASXL_004691
dd_Smed_v6_5958_0_1	mex3b 	SmedASXL_018040	SmedASXL_018040
dd_Smed_v6_11813_0_1	mex3b 	LITAF-1	SmedASXL_010443
dd_Smed_v6_4384_0_1Ê	Hippo	Hippo (HPO)	
dd_Smed_v6_3311_0_1Ê	Hippo	Yorkie (Yki)/YAP	
