transcript_id	transcript_length	transcript_source	evalue	score_type	symbol	blast_symbol	blast_description	target_species
dd_Smed_v6_10039_0_1	1058	PLDB	4.00E-38	e-value	NP_660303.1	OSR1 ODD	odd-skipped related transciption factor 1	Homo sapiens
dd_Smed_v6_100524_0_1	252	PLDB	6.00E-37	e-value	NP_000030.1	APOA1	apolipoprotein A-I	Homo sapiens
dd_Smed_v6_10112_0_1	6052	PLDB	2.00E-68	e-value	NP_002326.2	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	LDL receptor related protein 5	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	e-value	NP_000048.1	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10134_0_1	1559	PLDB	3.00E-11	e-value	NP_036436.1	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens
dd_Smed_v6_10136_0_1	2002	PLDB	1.00E-53	e-value	NP_001155000.1	LRRD1	leucine-rich repeats and death domain containing 1	Homo sapiens
dd_Smed_v6_10152_0_1	2441	PLDB	8.00E-40	e-value	NP_001445.2	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens
dd_Smed_v6_101932_0_1	462	PLDB	1.00E-10	e-value	NP_000697.1	AVPR1A AVPR V1a AVPR1 V1aR	arginine vasopressin receptor 1A	Homo sapiens
dd_Smed_v6_102081_0_1	289	PLDB	4.00E-05	e-value	NP_000036.2	ARG1	arginase 1	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	e-value	NP_003059.1	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10266_0_1	760	PLDB	3.00E-74	e-value	NP_004154.2	RAB27B C25KG	"RAB27B, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10270_0_1	687	PLDB	2.00E-56	e-value	NP_004152.1	RAB1A RAB1 YPT1	"RAB1A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10279_0_1	1328	PLDB	5.00E-20	e-value	NP_003409.1	CNBP CNBP1 DM2 PROMM RNF163 ZCCHC22 ZNF9	CCHC-type zinc finger nucleic acid binding protein	Homo sapiens
dd_Smed_v6_10315_0_1	4734	PLDB	2.00E-51	e-value	XP_003403865.3	LOC100287651	lipoxygenase homology domain-containing protein 1-like	Homo sapiens
dd_Smed_v6_10315_0_2	4677	PLDB	2.00E-51	e-value	XP_003403865.3	LOC100287651	lipoxygenase homology domain-containing protein 1-like	Homo sapiens
dd_Smed_v6_10335_0_1	1631	PLDB	2.00E-34	e-value	NP_001246.2	CDC20 CDC20A bA276H19.3 p55CDC	cell division cycle 20	Homo sapiens
dd_Smed_v6_10338_0_1	2920	PLDB	0	e-value	NP_001609.2	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_1033_0_1	764	PLDB	3.00E-68	e-value	NP_002023.2	FTH1 FHC FTH FTHL6 HFE5 PIG15 PLIF	"ferritin, heavy polypeptide 1"	Homo sapiens
dd_Smed_v6_1035_1_1	5651	PLDB	7.00E-46	e-value	NP_005179.2	CBL C-CBL CBL2 FRA11B NSLL RNF55	Cbl proto-oncogene	Homo sapiens
dd_Smed_v6_103690_0_1	221	PLDB	2.00E-37	e-value	NP_001280142.1	TUBB CDCBM6 M40 OK/SW-cl.56 TUBB1 TUBB5	"tubulin, beta class I"	Homo sapiens
dd_Smed_v6_1037_0_1	1077	PLDB	3.00E-82	e-value	NP_006825.1	RAB32	"RAB32, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10380_0_1	3931	PLDB	2.00E-84	e-value	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10380_0_2	3554	PLDB	3.00E-84	e-value	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10386_0_1	874	PLDB	4.00E-10	e-value	NP_005441.1	NOG SYM1 SYNS1	noggin	Homo sapiens
dd_Smed_v6_1038_0_1	940	PLDB	4.00E-119	e-value	NP_002625.1	PHB HEL-215 HEL-S-54e PHB1	prohibitin	Homo sapiens
dd_Smed_v6_10394_0_1	1942	PLDB	1.00E-33	e-value	NP_003027.1	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_10398_0_1	3034	PLDB	1.00E-107	e-value	NP_001140168.1	KDM4C GASC1 JHDM3C JMJD2C TDRD14C bA146B14.1	lysine (K)-specific demethylase 4C	Homo sapiens
dd_Smed_v6_10406_0_1	3994	PLDB	3.00E-37	e-value	XP_006711408.1	DDR2 MIG20a NTRKR3 TKT TYRO10	discoidin domain receptor tyrosine kinase 2	Homo sapiens
dd_Smed_v6_10415_0_1	2052	PLDB	9.00E-20	e-value	NP_001122092.1	PAK1 PAKalpha	p21 (RAC1) activated kinase 1	Homo sapiens
dd_Smed_v6_10424_0_1	1744	PLDB	5.00E-28	e-value	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_10427_0_1	2580	PLDB	6.00E-30	e-value	XP_005251975.1	NR6A1 CT150 GCNF GCNF1 NR61 RTR hGCNF hRTR	"nuclear receptor subfamily 6, group A, member 1"	Homo sapiens
dd_Smed_v6_10506_0_1	2181	PLDB	4.00E-54	e-value	NP_003611.1	PPM1D PP2C-DELTA WIP1	"protein phosphatase, Mg2 /Mn2  dependent, 1D"	Homo sapiens
dd_Smed_v6_1050_0_1	1134	PLDB	5.00E-104	e-value	NP_002863.1	RAC2 EN-7 Gx HSPC022 p21-Rac2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	Homo sapiens
dd_Smed_v6_10542_0_1	2136	PLDB	9.00E-24	e-value	NP_001269900.1	MTSS1 MIM MIMA MIMB	metastasis suppressor 1	Homo sapiens
dd_Smed_v6_10547_0_1	935	PLDB	2.00E-70	e-value	NP_067075.1	RAB18 RAB18LI1 WARBM3	"RAB18, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10570_0_1	753	PLDB	3.00E-97	e-value	NP_116235.2	RAB2B	"RAB2B, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10578_0_1	629	PLDB	5.00E-17	e-value	NP_001225.1	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
dd_Smed_v6_10585_0_1	3399	PLDB	7.00E-75	e-value	NP_543148.2	UNC5D PRO34692 Unc5h4	unc-5 homolog D (C. elegans)	Homo sapiens
dd_Smed_v6_10624_0_1	4838	PLDB	5.00E-69	e-value	XP_005246433.1	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_10647_0_1	2039	PLDB	6.00E-51	e-value	NP_036436.1	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens
dd_Smed_v6_10657_0_1	1105	PLDB	9.00E-71	e-value	NP_112594.1	DOHH HLRC1 hDOHH	deoxyhypusine hydroxylase/monooxygenase	Homo sapiens
dd_Smed_v6_1065_0_1	2125	PLDB	9.00E-48	e-value	NP_055481.1	CLINT1 CLINT ENTH EPN4 EPNR	clathrin interactor 1	Homo sapiens
dd_Smed_v6_10667_0_1	1813	PLDB	0	e-value	NP_002694.3	PPAT ATASE GPAT PRAT	phosphoribosyl pyrophosphate amidotransferase	Homo sapiens
dd_Smed_v6_10704_0_1	1899	PLDB	3.00E-60	e-value	XP_005259675.1	STK11 LKB1 PJS hLKB1	serine/threonine kinase 11	Homo sapiens
dd_Smed_v6_10708_0_1	1537	PLDB	4.00E-24	e-value	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10716_0_1	3063	PLDB	3.00E-54	e-value	NP_060087.3	NOTCH1 TAN1 hN1	notch 1	Homo sapiens
dd_Smed_v6_10730_0_1	3101	PLDB	1.00E-59	e-value	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10730_0_2	3053	PLDB	2.00E-59	e-value	NP_001231818.1	UNC5B UNC5H2 p53RDL1	unc-5 netrin receptor B	Homo sapiens
dd_Smed_v6_10742_0_1	7457	PLDB	2.00E-53	e-value	XP_005265151.1	SETD2 HBP231 HIF-1 HIP-1 HYPB KMT3A SET2 p231HBP	SET domain containing 2	Homo sapiens
dd_Smed_v6_10778_0_1	993	PLDB	8.00E-80	e-value	NP_060064.2	DIRAS2 Di-Ras2	DIRAS family GTPase 2	Homo sapiens
dd_Smed_v6_10816_0_1	1625	PLDB	1.00E-107	e-value	NP_001252.1	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens
dd_Smed_v6_10833_0_1	5180	PLDB	0	e-value	NP_031361.2	DLEC1 DLC1 F56	deleted in lung and esophageal cancer 1	Homo sapiens
dd_Smed_v6_10835_0_2	5096	PLDB	0	e-value	NP_066187.2	ANK2 ANK-2 LQT4 brank-2	"ankyrin 2, neuronal"	Homo sapiens
dd_Smed_v6_10835_0_3	2329	PLDB	2.00E-134	e-value	XP_006714253.1	ANK2 ANK-2 LQT4 brank-2	"ankyrin 2, neuronal"	Homo sapiens
dd_Smed_v6_10848_0_1	1812	PLDB	1.00E-110	e-value	NP_001014834.1	PAK4	p21 (RAC1) activated kinase 4	Homo sapiens
dd_Smed_v6_1086_0_1	584	PLDB	1.00E-17	e-value	NP_001225.1	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
dd_Smed_v6_10883_0_1	1775	PLDB	5.00E-34	e-value	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10921_0_1	1888	PLDB	4.00E-37	e-value	NP_003027.1	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_10935_0_1	2689	PLDB	4.00E-22	e-value	NP_004903.2	KRIT1 CAM CCM1	"KRIT1, ankyrin repeat containing"	Homo sapiens
dd_Smed_v6_10952_0_1	714	PLDB	7.00E-28	e-value	NP_000135.2	FXN CyaY FA FARR FRDA X25	frataxin	Homo sapiens
dd_Smed_v6_1095_0_1	1301	PLDB	3.00E-27	e-value	NP_002120.1	HMGB2 HMG2	high mobility group box 2	Homo sapiens
dd_Smed_v6_10968_0_1	1657	PLDB	6.00E-90	e-value	NP_002551.2	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_1096_0_1	733	PLDB	4.00E-62	e-value	NP_000260.1	NME1 AWD GAAD NB NBS NDKA NDPK-A NDPKA NM23 NM23-H1	NME/NM23 nucleoside diphosphate kinase 1	Homo sapiens
dd_Smed_v6_11013_0_1	1214	PLDB	7.00E-61	e-value	NP_000402.3	HLCS HCS	holocarboxylase synthetase	Homo sapiens
