Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10007_0_1	2124	PLDB	3.00E-29	NP_796372.1	LMX1A LMX1 LMX1.1	"LIM homeobox transcription factor 1, alpha"	Homo sapiens
dd_Smed_v6_10110_0_1	3407	PLDB	4.00E-52	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10110_0_2	2344	PLDB	2.00E-72	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10112_0_1	6052	PLDB	2.00E-68	NP_002326.2	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	LDL receptor related protein 5	Homo sapiens
dd_Smed_v6_10123_0_1	1460	PLDB	2.00E-18	NP_689416.1	IPMK	inositol polyphosphate multikinase	Homo sapiens
dd_Smed_v6_10129_0_1	1277	PLDB	9.00E-137	NP_037462.1	NME7 MN23H7 NDK 7 NDK7 nm23-H7	NME/NM23 family member 7	Homo sapiens
dd_Smed_v6_10152_0_1	2441	PLDB	8.00E-40	NP_001445.2	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	NP_003059.1	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10219_0_1	974	PLDB	2.00E-69	NP_001267479.1	PAX5 ALL3 BSAP	paired box 5	Homo sapiens
dd_Smed_v6_10277_0_1	1653	PLDB	2.00E-104	NP_067627.2	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_10277_0_2	1620	PLDB	8.00E-105	NP_067627.2	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_10293_0_1	911	PLDB	2.00E-45	NP_004459.2	FHL3 SLIM2	four and a half LIM domains 3	Homo sapiens
dd_Smed_v6_10311_0_1	4184	PLDB	8.00E-100	NP_872579.2	BPTF FAC1 FALZ NURF301	bromodomain PHD finger transcription factor	Homo sapiens
dd_Smed_v6_10325_0_1	1534	PLDB	1.00E-43	NP_003848.1	GALR2 GAL2-R GALNR2 GALR-2	galanin receptor 2	Homo sapiens
dd_Smed_v6_10354_0_1	2011	PLDB	1.00E-90	NP_057253.2	SUFU PRO1280 SUFUH SUFUXL	SUFU negative regulator of hedgehog signaling	Homo sapiens
dd_Smed_v6_10380_0_1	3931	PLDB	2.00E-84	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10380_0_2	3554	PLDB	3.00E-84	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10386_0_1	874	PLDB	4.00E-10	NP_005441.1	NOG SYM1 SYNS1	noggin	Homo sapiens
dd_Smed_v6_10394_0_1	1942	PLDB	1.00E-33	NP_003027.1	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_10415_0_1	2052	PLDB	9.00E-20	NP_001122092.1	PAK1 PAKalpha	p21 (RAC1) activated kinase 1	Homo sapiens
dd_Smed_v6_10417_0_1	2124	PLDB	2.00E-76	NP_001171827.1	PHF8 JHDM1F MRXSSD ZNF422	PHD finger protein 8	Homo sapiens
dd_Smed_v6_10424_0_1	1744	PLDB	5.00E-28	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_1050_0_1	1134	PLDB	5.00E-104	NP_002863.1	RAC2 EN-7 Gx HSPC022 p21-Rac2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	Homo sapiens
dd_Smed_v6_10513_0_1	962	PLDB	5.00E-31	NP_115707.2	ECE2	endothelin converting enzyme 2	Homo sapiens
dd_Smed_v6_10547_0_1	935	PLDB	2.00E-70	NP_067075.1	RAB18 RAB18LI1 WARBM3	"RAB18, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10585_0_1	3399	PLDB	7.00E-75	NP_543148.2	UNC5D PRO34692 Unc5h4	unc-5 homolog D (C. elegans)	Homo sapiens
dd_Smed_v6_10601_0_1	2439	PLDB	7.00E-34	XP_006715837.1	MICALL2 JRAB MICAL-L2	MICAL-like 2	Homo sapiens
dd_Smed_v6_10624_0_1	4838	PLDB	5.00E-69	XP_005246433.1	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_10638_0_1	4811	PLDB	0	NP_056477.1	IFT172 NPHP17 SLB SRTD10 osm-1 wim	intraflagellar transport 172	Homo sapiens
dd_Smed_v6_10674_0_1	1198	PLDB	2.00E-133	XP_006713243.1	ATP2B2 PMCA2 PMCA2a PMCA2i	"ATPase, Ca   transporting, plasma membrane 2"	Homo sapiens
dd_Smed_v6_10708_0_1	1537	PLDB	4.00E-24	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10730_0_1	3101	PLDB	1.00E-59	NP_734465.2	UNC5B UNC5H2 p53RDL1	unc-5 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_10730_0_2	3053	PLDB	2.00E-59	NP_001231818.1	UNC5B UNC5H2 p53RDL1	unc-5 netrin receptor B	Homo sapiens
dd_Smed_v6_10742_0_1	7457	PLDB	2.00E-53	XP_005265151.1	SETD2 HBP231 HIF-1 HIP-1 HYPB KMT3A SET2 p231HBP	SET domain containing 2	Homo sapiens
dd_Smed_v6_10750_1_1	871	PLDB	1.00E-44	NP_064563.1	CA10 CA-RPX CARPX HUCEP-15	carbonic anhydrase 10	Homo sapiens
dd_Smed_v6_1082_0_1	1467	PLDB	4.00E-33	NP_001158229.1	NOS1AP 6330408P19Rik CAPON	nitric oxide synthase 1 adaptor protein	Homo sapiens
dd_Smed_v6_10883_0_1	1775	PLDB	5.00E-34	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10921_0_1	1888	PLDB	4.00E-37	NP_003027.1	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_1096_0_1	733	PLDB	4.00E-62	NP_000260.1	NME1 AWD GAAD NB NBS NDKA NDPK-A NDPKA NM23 NM23-H1	NME/NM23 nucleoside diphosphate kinase 1	Homo sapiens
dd_Smed_v6_10987_0_1	4435	PLDB	0	NP_079408.3	WDR19 ATD5 CED4 DYF-2 IFT144 NPHP13 ORF26 Oseg6 PWDMP SRTD5	WD repeat domain 19	Homo sapiens
dd_Smed_v6_11067_0_1	4513	PLDB	0	NP_056505.2	STK36 FU	serine/threonine kinase 36	Homo sapiens
dd_Smed_v6_11070_0_1	1469	PLDB	1.00E-21	NP_003004.1	SFRP2 FRP-2 SARP1 SDF-5	secreted frizzled related protein 2	Homo sapiens
dd_Smed_v6_11225_0_1	1367	PLDB	5.00E-09	NP_001167446.1	TCTN1 JBTS13 TECT1	tectonic family member 1	Homo sapiens
