Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10001_0_1	930	PLDB	3.00E-26	NP_115830.1	STK19 D6S60 D6S60E G11 HLA-RP1 RP1	serine/threonine kinase 19	Homo sapiens
dd_Smed_v6_100026_0_1	334	PLDB	1.00E-14	XP_006713358.1	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_10007_0_1	2124	PLDB	3.00E-29	NP_796372.1	LMX1A LMX1 LMX1.1	"LIM homeobox transcription factor 1, alpha"	Homo sapiens
dd_Smed_v6_1000_0_1	1387	PLDB	9.00E-176	NP_001886.1	CSNK2A1 CK2A1 CKII CSNK2A3	casein kinase 2 alpha 1	Homo sapiens
dd_Smed_v6_10014_0_1	679	PLDB	5.00E-104	XP_006713618.1	TNIK	TRAF2 and NCK interacting kinase	Homo sapiens
dd_Smed_v6_1001_0_1	2118	PLDB	1.00E-97	NP_005868.1	SF3A1 PRP21 PRPF21 SAP114 SF3A120	splicing factor 3a subunit 1	Homo sapiens
dd_Smed_v6_100226_0_1	373	PLDB	3.00E-06	XP_006713356.1	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_10027_0_1	1334	PLDB	5.00E-138	NP_115564.2	KAT8 MOF MYST1 ZC2HC8 hMOF	lysine acetyltransferase 8	Homo sapiens
dd_Smed_v6_10031_0_1	1203	PLDB	6.00E-110	XP_005258460.1	UBA2 ARX SAE2	ubiquitin-like modifier activating enzyme 2	Homo sapiens
dd_Smed_v6_10033_0_1	1517	PLDB	0	NP_057521.1	TUBG2	tubulin gamma 2	Homo sapiens
dd_Smed_v6_10034_0_1	2549	PLDB	1.00E-51	XP_005274450.1	INTS4 INT4 MST093	integrator complex subunit 4	Homo sapiens
dd_Smed_v6_10037_0_1	1378	PLDB	2.00E-07	XP_005248291.1	PAPD7 LAK-1 LAK1 POLK POLS TRF4 TRF4-1 TRF41 TUTASE5	PAP associated domain containing 7	Homo sapiens
dd_Smed_v6_10039_0_1	1058	PLDB	4.00E-38	NP_660303.1	OSR1 ODD	odd-skipped related transciption factor 1	Homo sapiens
