Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_1194_0_1	2727	PLDB	4.00E-102	AGO3 EIF2C3	"argonaute 3, RISC catalytic component"	Homo sapiens
dd_Smed_v6_1194_0_2	1670	PLDB	3.00E-59	HNRNPA2B1 HNRNPA2 HNRNPB1 HNRPA2 HNRPA2B1 HNRPB1 IBMPFD2 RNPA2 SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	Homo sapiens
dd_Smed_v6_1194_0_3	1624	PLDB	2.00E-59	HNRNPA2B1 HNRNPA2 HNRNPB1 HNRPA2 HNRPA2B1 HNRPB1 IBMPFD2 RNPA2 SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	Homo sapiens
dd_Smed_v6_1258_0_1	3129	PLDB	0	PIWIL1 CT80.1 HIWI MIWI PIWI	piwi like RNA-mediated gene silencing 1	Homo sapiens
dd_Smed_v6_2478_0_1	1581	PLDB	7.00E-20	AGO1 EIF2C EIF2C1 GERP95 Q99	argonaute RISC catalytic component 1	Homo sapiens
dd_Smed_v6_2478_0_2	1555	PLDB	9.00E-20	AGO1 EIF2C EIF2C1 GERP95 Q99	argonaute RISC catalytic component 1	Homo sapiens
dd_Smed_v6_3861_0_1	3233	PLDB	0	AGO2 EIF2C2 Q10	"argonaute 2, RISC catalytic component"	Homo sapiens
dd_Smed_v6_659_0_1	2618	PLDB	5.00E-68	Piwil4 9230101H05Rik Miwi2	piwi-like RNA-mediated gene silencing 4	Mus musculus
dd_Smed_v6_6814_0_1	5404	PLDB	4.00E-92	Dicer1 1110006F08Rik D12Ertd7e mKIAA0928	"dicer 1, ribonuclease type III"	Mus musculus
dd_Smed_v6_756_0_1	10094	PLDB	3.00E-68	PIWIL1 CT80.1 HIWI MIWI PIWI	piwi like RNA-mediated gene silencing 1	Homo sapiens
dd_Smed_v6_7594_0_1	3432	PLDB	2.00E-101	AGO2 EIF2C2 Q10	"argonaute 2, RISC catalytic component"	Homo sapiens
