subjectID	NB subclass	queryID	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
dd_Smed_v6_5942_0_1	NB1	SMED30008505|dd_smedV4_5942_0_1|Dresden	100	1052	0	0	1	1052	1	1052	0	1898
dd_Smed_v6_5862_0_1	NB1											
dd_Smed_v6_8720_0_1	NB1	SMED30001601|AsxlWT_comp49517_c0_seq1|AsxlWT	71.28	188	50	2	1797	1982	625	810	4.00E-17	91.5
dd_Smed_v6_4998_1_1	NB1	SMED30006464|Sxlregen_comp4318_c0_seq1|Sxlregen	99.23	260	2	0	306	565	285	26	5.00E-129	461
dd_Smed_v6_7607_0_2	NB1	SMED30006464|Sxlregen_comp4318_c0_seq1|Sxlregen	100	41	0	0	146	186	41	1	8.00E-13	75.2
dd_Smed_v6_9224_0_1	NB1	SMED30006464|Sxlregen_comp4318_c0_seq1|Sxlregen	79.66	59	12	0	4	62	645	703	3.00E-06	53.6
dd_Smed_v6_5563_0_1	NB1	SMED30026364|AsxlWT_comp48326_c0_seq1|AsxlWT	99.85	2047	3	0	1	2047	101	2147	0	3678
dd_Smed_v6_3935_0_1	NB1	SMED30012332|AsxlX1_comp62951_c0_seq1|AsxlX1	99.85	1308	2	0	34	1341	44	1351	0	2351
dd_Smed_v6_9410_0_1	NB1	SMED30012332|AsxlX1_comp62951_c0_seq1|AsxlX1	73.12	186	50	0	700	885	1061	1246	2.00E-23	111
dd_Smed_v6_7038_0_1	NB1	SMED30012332|AsxlX1_comp62951_c0_seq1|AsxlX1	77.27	132	30	0	700	831	953	1084	3.00E-21	104
dd_Smed_v6_6263_0_1	NB1	SMED30023969|AsxlX1_comp76960_c0_seq2|AsxlX1	100	714	0	0	324	1037	1	714	0	1288
dd_Smed_v6_2654_0_1	NB1	SMED30000690|AsxlWT_comp70856_c0_seq1|AsxlWT	100	3504	0	0	1	3504	214	3717	0	6320
dd_Smed_v6_7419_0_1	NB1	SMED30005491|AsxlWT_comp82579_c0_seq1|AsxlWT	100	784	0	0	27	810	1	784	0	1415
dd_Smed_v6_11559_0_1	NB2											
dd_Smed_v6_2698_0_1	NB2											
dd_Smed_v6_2962_0_1	NB2											
dd_Smed_v6_5409_0_1	NB2											
dd_Smed_v6_10988_0_1	NB2	SMED30000949|AsxlWT_comp57187_c0_seq1|AsxlWT	99.88	1610	2	0	1	1610	55	1664	0	2895
dd_Smed_v6_2191_0_1	NB2	SMED30033646|uniq_smed27168|033226_uniq	100	316	0	0	465	780	522	837	5.00E-162	571
dd_Smed_v6_5816_0_1	NB2	SMED30003764|AsxlWT_comp42196_c0_seq1|AsxlWT	99.75	811	2	0	1	811	16	826	0	1454
dd_Smed_v6_7227_0_1	NB2	SMED30019097|AsxlWT_comp57586_c0_seq2|AsxlWT	96.9	1645	2	1	1	1596	129	1773	0	2776
dd_Smed_v6_8483_0_1	NB2	SMED30019097|AsxlWT_comp57586_c0_seq2|AsxlWT	69.87	229	60	4	397	619	456	681	7.00E-18	93.3
dd_Smed_v6_7227_0_2	NB2	SMED30019097|AsxlWT_comp57586_c0_seq2|AsxlWT	93.98	1645	2	2	1	1596	129	1725	0	2599
dd_Smed_v6_629_0_1	NB2	SMED30005171|AsxlWT_comp52395_c0_seq1|AsxlWT	99.89	901	1	0	1	901	9	909	0	1620
dd_Smed_v6_42549_0_1	NB2	SMED30005171|AsxlWT_comp52395_c0_seq1|AsxlWT	100	31	0	0	885	915	1	31	3.00E-07	57.2
dd_Smed_v6_4172_0_3	NB2	SMED30035424|AsxlWT_comp37844_c0_seq1|AsxlWT	99.96	2301	1	0	5	2305	9	2309	0	4145
dd_Smed_v6_4172_0_2	NB2	SMED30035424|AsxlWT_comp37844_c0_seq1|AsxlWT	99.95	1946	1	0	360	2305	504	2449	0	3505
dd_Smed_v6_4172_0_1	NB2	SMED30035424|AsxlWT_comp37844_c0_seq1|AsxlWT	99.93	1438	1	0	868	2305	1256	2693	0	2589
dd_Smed_v6_18900_0_1	NB2	SMED30023082|AsxlWT_comp43275_c0_seq1|AsxlWT	100	776	0	0	81	856	1	776	0	1400
dd_Smed_v6_12479_0_1	NB2	SMED30023082|AsxlWT_comp43275_c0_seq1|AsxlWT	73.19	138	37	0	659	796	418	555	7.00E-15	82.4
dd_Smed_v6_70_0_1	NB2	SMED30010488|AsxlWT_comp63173_c0_seq1|AsxlWT	98.99	1285	4	2	1	1276	1	1285	0	2259
dd_Smed_v6_17938_0_1	NB2	SMED30011277|AsxlX1_comp38555_c0_seq1|AsxlX1	100	778	0	0	4	781	1	778	0	1404
dd_Smed_v6_158_0_1	NB2	SMED30033583|uniq_SMEDS2F2_00020292-RA_1_150|033226_uniq	96	150	6	0	1	150	183	332	1.00E-64	244
dd_Smed_v6_8774_0_3	NB2	SMED30033583|uniq_SMEDS2F2_00020292-RA_1_150|033226_uniq	84.93	73	11	0	78	150	89	17	1.00E-15	82.4
dd_Smed_v6_11881_0_1	NB2	SMED30033584|AsxlX1_comp79137_c0_seq6|AsxlX1	98.33	239	4	0	129	367	1	239	4.00E-115	414
