Contig.primaryIdentifier	Contig.length	Contig.blastHits.score	Contig.blastHits.blastDomain.symbol	Contig.blastHits.blastDomain.description	Contig.blastHits.blastDomain.species	Contig.blastHits.blastDomain.primaryIdentifier
dd_Smed_v6_10001_0_1	930	3.00E-26	STK19 D6S60 D6S60E G11 HLA-RP1 RP1	serine/threonine kinase 19	Homo sapiens	NP_115830.1
dd_Smed_v6_100026_0_1	334	1.00E-14	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens	XP_006713358.1
dd_Smed_v6_10003_0_1	1649	4.00E-44	TMX3 PDIA13 TXNDC10	thioredoxin related transmembrane protein 3	Homo sapiens	NP_061895.3
dd_Smed_v6_10006_0_1	959	7.00E-45	RPUSD1 C16orf40 RLUCL	RNA pseudouridylate synthase domain containing 1	Homo sapiens	NP_478072.1
dd_Smed_v6_10007_0_1	2124	3.00E-29	LMX1A LMX1 LMX1.1	"LIM homeobox transcription factor 1, alpha"	Homo sapiens	NP_796372.1
dd_Smed_v6_1000_0_1	1387	9.00E-176	CSNK2A1 CK2A1 CKII CSNK2A3	casein kinase 2 alpha 1	Homo sapiens	NP_001886.1
dd_Smed_v6_1000_0_2	1307	5.00E-176	CSNK2A1 CK2A1 CKII CSNK2A3	casein kinase 2 alpha 1	Homo sapiens	NP_001886.1
dd_Smed_v6_100143_0_1	267	1.00E-38	ME3 NADP-ME	"malic enzyme 3, NADP( )-dependent, mitochondrial"	Homo sapiens	XP_006718486.1
dd_Smed_v6_10014_0_1	679	5.00E-104	TNIK	TRAF2 and NCK interacting kinase	Homo sapiens	XP_006713618.1
dd_Smed_v6_10018_0_1	3380	1.00E-22	TTI1 KIAA0406 smg-10	TELO2 interacting protein 1	Homo sapiens	NP_055472.1
dd_Smed_v6_10018_0_2	3332	2.00E-22	TTI1 KIAA0406 smg-10	TELO2 interacting protein 1	Homo sapiens	NP_055472.1
dd_Smed_v6_1001_0_1	2118	1.00E-97	SF3A1 PRP21 PRPF21 SAP114 SF3A120	splicing factor 3a subunit 1	Homo sapiens	NP_005868.1
dd_Smed_v6_10021_0_1	748	1.00E-14	TEX261 TEG-261	testis expressed 261	Homo sapiens	NP_653183.2
dd_Smed_v6_100226_0_1	373	3.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens	XP_006713356.1
dd_Smed_v6_10022_0_1	1329	6.00E-103	SLC35C2 BA394O2.1 C20orf5 CGI-15 OVCOV1	"solute carrier family 35 (GDP-fucose transporter), member C2"	Homo sapiens	XP_006723864.1
dd_Smed_v6_100246_0_1	279	2.00E-05	PCID2 F10	PCI domain containing 2	Homo sapiens	XP_005268382.1
dd_Smed_v6_10027_0_1	1334	5.00E-138	KAT8 MOF MYST1 ZC2HC8 hMOF	lysine acetyltransferase 8	Homo sapiens	NP_115564.2
dd_Smed_v6_10027_0_2	1031	2.00E-103	KAT8 MOF MYST1 ZC2HC8 hMOF	lysine acetyltransferase 8	Homo sapiens	NP_892003.2
dd_Smed_v6_10028_0_1	932	9.00E-35	CAMKMT C2orf34 CLNMT CaM KMT Cam KMT	calmodulin-lysine N-methyltransferase	Homo sapiens	NP_079042.1
dd_Smed_v6_1002_0_1	1430	2.00E-110	SORD HEL-S-95n SORD1	sorbitol dehydrogenase	Homo sapiens	NP_003095.2
dd_Smed_v6_10030_0_5	962	1.00E-10	WBP4 FBP21	WW domain binding protein 4	Homo sapiens	NP_009118.1
dd_Smed_v6_10030_0_6	934	3.00E-18	WBP4 FBP21	WW domain binding protein 4	Homo sapiens	NP_009118.1
dd_Smed_v6_10031_0_1	1203	6.00E-110	UBA2 ARX SAE2	ubiquitin-like modifier activating enzyme 2	Homo sapiens	XP_005258460.1
dd_Smed_v6_10031_0_2	875	5.00E-47	UBA2 ARX SAE2	ubiquitin-like modifier activating enzyme 2	Homo sapiens	XP_005258460.1
dd_Smed_v6_10032_0_1	3098	7.00E-33	WDR60 FAP163 SRPS6 SRTD8	WD repeat domain 60	Homo sapiens	XP_005249606.1
dd_Smed_v6_10033_0_1	1517	0	TUBG2	tubulin gamma 2	Homo sapiens	NP_057521.1
dd_Smed_v6_10034_0_1	2549	1.00E-51	INTS4 INT4 MST093	integrator complex subunit 4	Homo sapiens	XP_005274450.1
dd_Smed_v6_10037_0_1	1378	2.00E-07	PAPD7 LAK-1 LAK1 POLK POLS TRF4 TRF4-1 TRF41 TUTASE5	PAP associated domain containing 7	Homo sapiens	XP_005248291.1
dd_Smed_v6_10039_0_1	1058	4.00E-38	OSR1 ODD	odd-skipped related transciption factor 1	Homo sapiens	NP_660303.1
dd_Smed_v6_10045_0_1	1917	0	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens	NP_003574.1
dd_Smed_v6_10047_0_1	725	6.00E-27	FOPNL C16orf63 FOR20 PHSECRG2	FGFR1OP N-terminal like	Homo sapiens	NP_653201.1
dd_Smed_v6_100524_0_1	252	6.00E-37	APOA1	apolipoprotein A-I	Homo sapiens	NP_000030.1
dd_Smed_v6_10054_0_1	1094	3.00E-46	TTC1 TPR1	tetratricopeptide repeat domain 1	Homo sapiens	NP_003305.1
dd_Smed_v6_10055_0_1	1118	2.00E-102	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens	NP_003574.1
dd_Smed_v6_10056_0_1	1497	2.00E-10	RPAP2 C1orf82	RNA polymerase II associated protein 2	Homo sapiens	NP_079089.2
dd_Smed_v6_10058_0_1	3698	1.00E-31	LOC100132731	uncharacterized LOC100132731	Homo sapiens	XP_003403820.3
dd_Smed_v6_10060_0_1	516	3.00E-09	C22orf39	chromosome 22 open reading frame 39	Homo sapiens	NP_776154.3
dd_Smed_v6_10062_0_1	2910	5.00E-51	ANKAR	ankyrin and armadillo repeat containing	Homo sapiens	NP_653309.3
dd_Smed_v6_10064_0_1	1840	4.00E-65	GTF2H1 BTF2 P62 TFB1 TFIIH	general transcription factor IIH subunit 1	Homo sapiens	NP_005307.1
dd_Smed_v6_10068_0_1	958	7.00E-58	METTL5 HSPC133	methyltransferase like 5	Homo sapiens	NP_054887.2
dd_Smed_v6_10069_0_1	3225	0	SKIV2L2 Dob1 KIAA0052 Mtr4 fSAP118	Ski2 like RNA helicase 2	Homo sapiens	NP_056175.3
dd_Smed_v6_10070_0_1	2531	3.00E-84	ARHGAP26 GRAF GRAF1 OPHN1L OPHN1L1	Rho GTPase activating protein 26	Homo sapiens	XP_005268459.1
