Contig	Symbol
dd_Smed_v6_3847_0_1	ATF3
dd_Smed_v6_4900_0_1	AXUD1
dd_Smed_v6_18465_0_1	CTGF
dd_Smed_v6_3617_0_1	DUSP1.1
dd_Smed_v6_4619_0_1	DUSP5.1
dd_Smed_v6_8066_0_1	DUSP6
dd_Smed_v6_14629_0_1	EGR1.1
dd_Smed_v6_7091_0_1	EGR1.2
dd_Smed_v6_9273_0_1	EGR1.3
dd_Smed_v6_2807_0_1	GADD45B
dd_Smed_v6_7051_0_1	GEM.1
dd_Smed_v6_1239_0_1	GEM.2
dd_Smed_v6_522_0_1	GEM.3
dd_Smed_v6_2167_0_1	GEM.4
dd_Smed_v6_7782_0_1	IER3
dd_Smed_v6_12229_0_1	NR4A1
dd_Smed_v6_6741_0_1	PTGS2.1
dd_Smed_v6_462_0_1	PTGS2.2
dd_Smed_v6_6451_0_1	TNFAIP3.1
dd_Smed_v6_10637_0_1	TNFAIP3.2
dd_Smed_v6_2288_0_1	TNFAIP3.3
dd_Smed_v6_3165_0_1	ABHD5.1
dd_Smed_v6_1453_0_1	ABHD5.2
dd_Smed_v6_12069_0_1	AKIRIN2
dd_Smed_v6_5310_0_1	ARL5B.1
dd_Smed_v6_864_0_1	ARL5B.2
dd_Smed_v6_22479_0_1	BHLHE40
dd_Smed_v6_5784_0_1	CA2.1
dd_Smed_v6_11683_0_1	CA2.2
dd_Smed_v6_5545_0_1	CEBPD
dd_Smed_v6_7676_0_1	Ch25h
dd_Smed_v6_1529_1_1	COQ10B.1
dd_Smed_v6_16950_0_1	COQ10B.2
dd_Smed_v6_9192_0_1	CSRNP1
dd_Smed_v6_283_0_1	DDX21.1
dd_Smed_v6_596_0_1	DDX21.2
dd_Smed_v6_3588_0_1	DNAJB1
dd_Smed_v6_4483_0_1	DSCR1
dd_Smed_v6_7731_0_1	EGR4
dd_Smed_v6_14712_0_1	ETV5.1
dd_Smed_v6_20282_0_1	ETV5.2
dd_Smed_v6_2092_0_1	ETV5.3
dd_Smed_v6_6663_0_1	FAM83G.1
dd_Smed_v6_6415_0_1	FAM83G.2
dd_Smed_v6_2118_0_1	FLG
dd_Smed_v6_20604_0_1	GPR3.1
dd_Smed_v6_26479_0_1	GPR3.2
dd_Smed_v6_10325_0_1	GPR50.1
dd_Smed_v6_54079_0_1	GPR50.2
dd_Smed_v6_12518_0_1	GTF2B.1
dd_Smed_v6_15237_0_1	GTF2B.2
dd_Smed_v6_4597_0_1	HOMER1
dd_Smed_v6_11911_0_1	ID4
dd_Smed_v6_4422_0_1	INSIG1
dd_Smed_v6_5837_0_1	KDM6B
dd_Smed_v6_7389_0_1	KIAA0020
dd_Smed_v6_17385_0_1	KLF10
dd_Smed_v6_12264_0_1	Klf4
dd_Smed_v6_3871_0_1	KRT8
dd_Smed_v6_6585_0_1	LDLR.1
dd_Smed_v6_9829_0_1	LDLR.2
dd_Smed_v6_1900_0_1	LOC57018
dd_Smed_v6_1416_0_1	MAK16
dd_Smed_v6_1580_0_1	Mat2a
dd_Smed_v6_17539_0_1	MFSD2A
dd_Smed_v6_643_0_1	NAGK
dd_Smed_v6_2911_0_1	NDRG1
dd_Smed_v6_587_0_1	NFKBIA
dd_Smed_v6_8174_0_1	NIPAL1.1
dd_Smed_v6_12340_0_1	NIPAL1.2
dd_Smed_v6_12265_0_1	NXF1
dd_Smed_v6_8596_0_1	PDK4
dd_Smed_v6_4273_0_1	Plk2.1
dd_Smed_v6_35990_0_1	Plk2.2
dd_Smed_v6_12637_0_1	Plk2.3
dd_Smed_v6_1964_0_1	PMM2
dd_Smed_v6_786_0_1	PNP
dd_Smed_v6_2546_0_1	PSMD12
dd_Smed_v6_8516_0_1	QSOX1
dd_Smed_v6_7273_0_1	Rasl11b.1
dd_Smed_v6_4604_0_1	Rasl11b.2
dd_Smed_v6_1285_0_1	RBM14.1
dd_Smed_v6_473_0_1	RBM14.2
dd_Smed_v6_8648_0_1	Rgs2.1
dd_Smed_v6_8787_0_1	Rgs2.2
dd_Smed_v6_4294_0_1	Rhob
dd_Smed_v6_813_0_1	RND3.1
dd_Smed_v6_578_0_1	RND3.2
dd_Smed_v6_610_0_1	RND3.3
dd_Smed_v6_2844_0_1	RNF122.1
dd_Smed_v6_1180_0_1	RNF122.2
dd_Smed_v6_4125_0_1	SBDS
dd_Smed_v6_1741_0_1	SERPINB9
dd_Smed_v6_4198_0_1	SGK
dd_Smed_v6_5447_0_1	SLC2A1.1
dd_Smed_v6_8244_0_1	SLC2A1.2
dd_Smed_v6_3190_0_1	SLC2A3
dd_Smed_v6_5469_0_1	SRF
dd_Smed_v6_1295_0_1	SYAP1
dd_Smed_v6_2293_0_1	TFPI2.1
dd_Smed_v6_44211_0_1	TFPI2.2
dd_Smed_v6_3638_0_1	TIEG
dd_Smed_v6_2538_0_1	TRIB1.1
dd_Smed_v6_7480_0_1	TRIB1.2
dd_Smed_v6_5223_0_1	TXNL4B
dd_Smed_v6_9806_0_1	UTP3
dd_Smed_v6_5058_0_1	ZNF26
dd_Smed_v6_7281_0_1	ZSWIM6
dd_Smed_v6_9489_0_1	ZYX.1
dd_Smed_v6_12584_0_1	ZYX.2
