Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_12033_0_1	1070	PLDB	7.00E-11	CD82 4F9 C33 GR15 IA4 KAI1 R2 SAR2 ST6 TSPAN27	CD82 molecule	Homo sapiens
dd_Smed_v6_1257_0_1	1077	PLDB	6.00E-19	CD151 GP27 MER2 PETA-3 RAPH SFA1 TSPAN24	CD151 molecule (Raph blood group)	Homo sapiens
dd_Smed_v6_13516_1_4	1157	PLDB	4.00E-05	CD151 GP27 MER2 PETA-3 RAPH SFA1 TSPAN24	CD151 molecule (Raph blood group)	Homo sapiens
dd_Smed_v6_13639_0_1	1396	PLDB	2.00E-10	TSPAN3 TM4-A TM4SF8 TSPAN-3	tetraspanin 3	Homo sapiens
dd_Smed_v6_1719_0_1	1042	PLDB	2.00E-19	TSPAN9 NET-5 NET5 PP1057	tetraspanin 9	Homo sapiens
dd_Smed_v6_1719_0_2	996	PLDB	2.00E-19	TSPAN9 NET-5 NET5 PP1057	tetraspanin 9	Homo sapiens
dd_Smed_v6_2025_0_1	1098	PLDB	1.00E-75	TSPAN17 FBX23 FBXO23 TM4SF17	tetraspanin 17	Homo sapiens
dd_Smed_v6_2578_0_1	1498	PLDB	5.00E-10	TSPAN6 T245 TM4SF6 TSPAN-6	tetraspanin 6	Homo sapiens
dd_Smed_v6_2693_0_1	1672	PLDB	5.00E-10	CD9 BTCC-1 DRAP-27 MIC3 MRP-1 TSPAN-29 TSPAN29	CD9 molecule	Homo sapiens
dd_Smed_v6_354_0_1	1007	PLDB	3.00E-11	TSPAN3 TM4-A TM4SF8 TSPAN-3	tetraspanin 3	Homo sapiens
dd_Smed_v6_389_0_1	871	PLDB	1.00E-18	CD63 LAMP-3 ME491 MLA1 OMA81H TSPAN30	CD63 molecule	Homo sapiens
dd_Smed_v6_4902_0_1	1015	PLDB	5.00E-06	TSPAN3 TM4-A TM4SF8 TSPAN-3	tetraspanin 3	Homo sapiens
dd_Smed_v6_5209_0_1	1107	PLDB	8.00E-20	TSPAN11 VSSW1971	tetraspanin 11	Homo sapiens
dd_Smed_v6_6501_0_1	861	PLDB	5.00E-13	CD81 CVID6 S5.7 TAPA1 TSPAN28	CD81 molecule	Homo sapiens
dd_Smed_v6_66515_0_1	668	PLDB	3.00E-07	TSPAN6 T245 TM4SF6 TSPAN-6	tetraspanin 6	Homo sapiens
dd_Smed_v6_6981_0_1	1131	PLDB	1.00E-19	CD63 LAMP-3 ME491 MLA1 OMA81H TSPAN30	CD63 molecule	Homo sapiens
dd_Smed_v6_9515_0_1	1175	PLDB	4.00E-05	TSPAN11 VSSW1971	tetraspanin 11	Homo sapiens
dd_Smed_v6_9647_0_1	931	PLDB	1.00E-10	CD9 BTCC-1 DRAP-27 MIC3 MRP-1 TSPAN-29 TSPAN29	CD9 molecule	Homo sapiens
