Transcript > Id	transcript	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_15506_0_1	Snail-1	936	PLDB	2.00E-36	Snai1 AI194338 Sna Sna1 Snail Snail1	snail family zinc finger 1	Mus musculus
dd_Smed_v6_10216_0_1	Snail-2	1034	PLDB	2.00E-49	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10038_0_1	Zeb-1	1929	PLDB	2.00E-40	zag-1	Zinc finger E-box-binding homeobox protein zag-1	Caenorhabditis elegans
dd_Smed_v6_10958_0_1	B-integrin	2156	PLDB	9.00E-50	Adam34	a disintegrin and metallopeptidase domain 34	Mus musculus
dd_Smed_v6_10958_0_2	B-integrin	2111	PLDB	2.00E-48	Adam34 dd_Smed_v6_10958_0_2	a disintegrin and metallopeptidase domain 34 dd_Smed_v6_10958_0_2	Mus musculus
dd_Smed_v6_2341_0_1	B-integrin	3074	PLDB	7.00E-144	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz dd_Smed_v6_2341_0_1	ADAM metallopeptidase domain 10 dd_Smed_v6_2341_0_1	Homo sapiens
dd_Smed_v6_2341_0_2	B-integrin	3019	PLDB	4.00E-144	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz dd_Smed_v6_2341_0_2	ADAM metallopeptidase domain 10 dd_Smed_v6_2341_0_2	Homo sapiens
dd_Smed_v6_2341_0_3	B-integrin	2739	PLDB	4.00E-145	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz dd_Smed_v6_2341_0_3	ADAM metallopeptidase domain 10 dd_Smed_v6_2341_0_3	Homo sapiens
dd_Smed_v6_2341_0_4	B-integrin	2684	PLDB	3.00E-145	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz dd_Smed_v6_2341_0_4	ADAM metallopeptidase domain 10 dd_Smed_v6_2341_0_4	Homo sapiens
dd_Smed_v6_38428_0_1	B-integrin	1168	PLDB	5.00E-13	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz	ADAM metallopeptidase domain 10	Homo sapiens
dd_Smed_v6_5143_0_1	B-integrin	3817	PLDB	2.00E-68	Meltrin CG31314 CG31385 CG7649 CT23341 DMeltrin Dmel\CG7649 Neu3 meltrin	CG7649 gene product from transcript CG7649-RC	Drosophila melanogaster
dd_Smed_v6_7795_0_1	B-integrin	4094	PLDB	6.00E-125	LOC100158671	ADAM 17-like protease	Acyrthosiphon pisum
dd_Smed_v6_8718_0_1	B-integrin	4977	PLDB	4.00E-54	ADAM23 MDC-3 MDC3	ADAM metallopeptidase domain 23	Homo sapiens
