Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10014_0_1	679	PLDB	5.00E-104	TNIK	TRAF2 and NCK interacting kinase	Homo sapiens
dd_Smed_v6_10045_0_1	1917	PLDB	0	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10055_0_1	1118	PLDB	2.00E-102	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10064_0_1	1840	PLDB	4.00E-65	GTF2H1 BTF2 P62 TFB1 TFIIH	general transcription factor IIH subunit 1	Homo sapiens
dd_Smed_v6_10078_0_1	2286	PLDB	2.00E-53	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens
dd_Smed_v6_10092_0_1	1759	PLDB	4.00E-68	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens
dd_Smed_v6_10110_0_1	3407	PLDB	4.00E-52	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10110_0_2	2344	PLDB	2.00E-72	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10110_0_3	1239	PLDB	1.00E-44	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10163_0_1	1688	PLDB	4.00E-37	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_101655_0_1	252	PLDB	4.00E-43	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10225_0_1	2111	PLDB	7.00E-58	CNOT7 CAF1 Caf1a hCAF-1	"CCR4-NOT transcription complex, subunit 7"	Homo sapiens
dd_Smed_v6_10301_0_1	598	PLDB	4.00E-18	INO80C C18orf37 IES6 hIes6	INO80 complex subunit C	Homo sapiens
dd_Smed_v6_10338_0_1	2920	PLDB	0	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_1034_0_1	2381	PLDB	0	DDX6 HLR2 P54 RCK	DEAD-box helicase 6	Homo sapiens
dd_Smed_v6_104002_0_1	213	PLDB	2.00E-16	PARK7 DJ-1 DJ1 HEL-S-67p	Parkinsonism associated deglycase	Homo sapiens
